runtime_sec,len_scale
35.1466269493103,[0.55235698 0.78631288]
22.15249729156494,[0.53244095 0.83616703]
25.714630603790283,[0.55235733 0.78624668]
22.51803183555603,[0.53241656 0.83622045]
21.777145862579346,[0.53241971 0.83622803]
22.41197681427002,[0.53240624 0.83626185]
18.13150191307068,[0.55233584 0.78636266]
21.895698070526123,[0.53238907 0.83622606]
21.770418167114258,[0.55236937 0.78627777]
25.921350240707397,[0.73750387 0.51806916]
18.390567541122437,[0.00844014 1.4532305 ]
22.641722202301025,[0.01139579 1.45323052]
25.67007303237915,[0.55238888 0.78623888]
21.74993586540222,[0.55238806 0.78624009]
25.721264362335205,[0.00839536 1.45323045]
22.014665842056274,[0.55235306 0.78632124]
26.12996816635132,[0.55233117 0.78637221]
21.972116947174072,[0.55236412 0.78629204]
25.21714687347412,[0.55238662 0.7862475 ]
18.73323130607605,[0.55237784 0.78620824]
21.569419860839844,[0.00768763 1.45322686]
14.5693998336792,[0.5523745  0.78627193]
26.100695848464966,[0.53749693 0.82254105]
18.660950422286987,[0.56163583 0.72716645]
22.802499055862427,[0.60382682 0.68188498]
21.952131509780884,[0.55234597 0.78634163]
21.890182733535767,[0.55233933 0.78635364]
18.588486909866333,[0.00873399 1.45323052]
25.848813772201538,[0.53240974 0.83625279]
25.846871614456177,[0.55230606 0.78642618]
25.372045278549194,[0.55233976 0.78635338]
18.27463150024414,[0.55226152 0.78652381]
22.070538759231567,[0.55236057 0.78630667]
18.223181009292603,[0.5523549  0.78631842]
21.885330200195312,[0.54444723 0.80493023]
18.93635392189026,[0.55237745 0.78626731]
21.965234518051147,[0.53242868 0.83620216]
14.888863563537598,[0.73756036 0.51803854]
22.52521300315857,[0.01106727 1.45323051]
18.151131868362427,[0.55238057 0.78625287]
22.195460319519043,[0.53240559 0.83626521]
18.923374891281128,[0.55234688 0.78633462]
18.59850311279297,[0.53240594 0.83626658]
25.35236382484436,[0.60378383 0.68186159]
25.792826652526855,[0.55238457 0.78624105]
18.342764616012573,[0.53240671 0.8362606 ]
25.31038784980774,[0.60374845 0.68187091]
22.109667778015137,[0.00824409 1.45322958]
22.1780743598938,[0.53243428 0.83618586]
22.047491550445557,[0.53243779 0.83617371]
21.915711164474487,[0.55236778 0.78628805]
18.168761491775513,[0.53246084 0.8361131 ]
27.563940286636353,[0.552377   0.78626708]
25.858616590499878,[0.55230328 0.78643421]
25.407991886138916,[0.53241668 0.83623374]
25.610299110412598,[0.55232999 0.78637095]
29.678638458251953,[0.00873509 1.45323052]
21.90786051750183,[0.60379119 0.68188138]
25.94836664199829,[0.55239075 0.78623131]
21.962397813796997,[0.55236579 0.78628922]
25.917311191558838,[0.53243471 0.83618729]
29.60960078239441,[0.53242723 0.83620569]
26.05197238922119,[0.53243031 0.83619748]
22.939574718475342,[0.55237091 0.78628203]
22.76641345024109,[0.53246115 0.83611299]
25.98887586593628,[0.55231196 0.78641376]
26.013081789016724,[0.53247684 0.83606832]
22.406115770339966,[0.5324279  0.83620385]
18.657167434692383,[0.55233063 0.78637323]
26.625195264816284,[0.53241232 0.83624474]
22.836156606674194,[0.53240187 0.83627433]
22.549341201782227,[0.55237391 0.78627281]
26.05390429496765,[0.53252573 0.83593256]
25.71639585494995,[0.53244221 0.83616381]
22.095094442367554,[0.55238353 0.78624973]
25.683269739151,[0.5323874  0.83628558]
21.970698356628418,[0.53245139 0.8361372 ]
22.776641845703125,[0.55238801 0.78624236]
21.69609260559082,[0.53242765 0.83620452]
18.300163507461548,[0.53241732 0.83623404]
26.28580641746521,[0.55236368 0.78628985]
21.88565182685852,[0.55234813 0.78633215]
25.764599084854126,[0.01109489 1.45323051]
18.18540382385254,[0.55229742 0.78644952]
21.904566526412964,[0.00843322 1.45323048]
25.357097387313843,[0.53246378 0.83610552]
22.593860626220703,[0.55228868 0.7864673 ]
25.687695026397705,[0.53240512 0.83626755]
25.981654405593872,[0.00965009 1.45323043]
26.550203323364258,[0.00800056 1.45323052]
22.270475149154663,[0.55235852 0.7863099 ]
22.39743685722351,[0.5523698  0.78628209]
19.066089391708374,[0.6037836  0.68187419]
18.77617621421814,[0.53242728 0.83620438]
18.597090005874634,[0.55238251 0.78624927]
14.931098461151123,[0.00994737 1.45323051]
22.248491287231445,[0.53244437 0.83615897]
18.73590087890625,[0.53246435 0.83610188]
22.364816904067993,[0.55237662 0.78626427]
18.27405023574829,[0.53241468 0.83624048]
