hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.07940651 0.46828505],0.14200000000000002,0.49683544303797467,0.6977848101265823,0.9477848101265823,0.5300632911392406,0.7104430379746836,0.9556962025316456,"[-1.27762021  1.31954185  1.59543045 -1.26859744 -0.33671205  1.17831652
 -2.49163279  1.0426168  -2.66071276 -0.41520506 -0.71574398  0.05154583]","[-0.29532907  1.75423022  0.32820231 -0.56426484  1.57389261  0.38870067
  0.03987623  1.722303    0.25       -0.41819296  1.57931549  0.74746797]","[-3.88618872  3.20786914  4.47445619 -0.19830021  0.82612303  0.15557569
 -6.63491029  1.94928606 -6.09965947  0.95552212 -0.83015481 -1.10151068]","[-0.29794237  1.75551629  0.33060399 -0.55134821  1.57852606  0.37869858
  0.03781359  1.72009428  0.25000001 -0.34777899  1.60852673  0.62928437]",4.204295365999997,6.302848900668323
[0.20701238 0.24466922],0.14200000000000002,0.518467852257182,0.6771545827633378,0.948016415868673,0.600547195622435,0.7783857729138167,0.9863201094391245,"[-0.94643621  0.22301284 -1.05227816 -0.684134   -0.2646505   1.16756349
 -1.67791618  1.49573309  1.14694473  0.35646851  0.23265797 -0.54403671]","[ 0.43048149  1.54565952  0.40682751 -0.28463834  1.42032624  0.29492557
 -0.397814    1.8         0.40582013 -0.30649953  1.8         0.55762587]","[-1.98957674  0.58156418 -2.44280471 -1.94112896 -0.19742415  3.31562281
 -3.17832779 12.5141564   1.53461697  0.31232489  2.04361602 -0.77093063]","[ 0.43157844  1.5456322   0.4079593  -0.28553649  1.42183212  0.29535319
 -0.39225957  1.8         0.39821462 -0.31260115  1.79999985  0.57051313]",4.8836336889999075,7.103431270457804
[0.1533532  0.34640623],0.08500000000000002,0.47577092511013214,0.6637298091042585,0.9559471365638766,0.5638766519823789,0.7562408223201175,0.9706314243759178,"[-0.3986276  -1.25701799  0.22480014  1.99886384  1.23017565 -1.62202543
  0.15700091 -0.45064255 -0.11473784  0.21530332  0.58697914  0.13735194]","[-0.37535146  1.61376763  0.54007963 -0.13590638  1.5866628   0.50131708
  0.7720738   1.50199076  0.36656595 -0.86031715  1.50268179  0.51115094]","[-1.1731438  -3.67460193  0.63881401  5.75157827  4.66326421 -4.86527701
  0.48943092 -1.74617453  0.083746    1.29430272  1.72198781 -0.5053086 ]","[-0.37629168  1.61274943  0.54064416 -0.13066851  1.60737986  0.47243181
  0.77261335  1.50090728  0.36769538 -0.84730123  1.50366553  0.50114963]",4.969074685999885,7.211638152599335
[0.07266454 0.67623018],0.10200000000000001,0.4958563535911602,0.669889502762431,0.9544198895027625,0.5179558011049724,0.7403314917127072,0.9792817679558011,"[ 0.4246391   0.0149044  -0.30011527  0.57469021 -0.3222347   0.66389868
  0.51510778  0.24358208 -0.65647266  1.17200594 -0.89751173 -1.56206661]","[-0.06071329  1.77085333  0.61256003  0.88572237  1.45586039  0.51188498
 -0.15169027  1.6767814   0.53478871 -0.16121462  1.66286047  0.5174278 ]","[ 3.29822852 -0.86343349 -3.6905424   1.64076573 -2.20006293  1.98620912
  3.46311029 -0.82260979 -3.93135979  2.0080507  -0.8263646  -3.34341711]","[-0.05240357  1.73557244  0.50731132  0.8937079   1.44715582  0.51826239
 -0.13393431  1.64299506  0.45921244 -0.16962118  1.70296459  0.51675578]",5.192973967999933,7.27072483394295
[0.40778227 0.14249066],0.118,0.5048678720445062,0.6815020862308763,0.9443671766342142,0.47705146036161333,0.6522948539638387,0.9485396383866481,"[-1.91314367 -0.43907965 -1.93961097 -1.21394135  1.79324858  0.71596359
 -2.03107979  1.47127606 -2.09919221 -0.52333159 -0.23514209  0.26610489]","[ 0.23324621  1.70856919  0.61782163 -0.53210964  1.67685088  0.53520644
  0.2866576   1.47080679  0.4872515  -0.49526125  1.6946557   0.40262195]","[ -5.88088801  -1.89607855  -5.75965208  -1.94721443   3.94736889
   0.65237227 -10.15544909   6.55197314  -9.83939685  -1.36490331
   1.31631534   0.31456885]","[ 0.22810963  1.70164901  0.60744221 -0.51994699  1.67343621  0.51961938
  0.25727727  1.48781585  0.43765443 -0.49605378  1.70483289  0.39945719]",4.637896453999701,6.477997414767742
[0.19415623 0.25395189],0.14200000000000002,0.481029810298103,0.6856368563685636,0.9471544715447154,0.502710027100271,0.6693766937669376,0.9254742547425474,"[-0.96430179  0.01266716 -0.99569966  0.33839756  0.87378593  0.15198379
 -1.03746855  1.10027101 -0.99988155  0.48937853  0.17597623  0.25756782]","[0.21668207 1.64886275 0.28050433 0.23399431 1.78552499 0.31297772
 0.1571031  1.49236141 0.52217323 0.19081017 1.79999078 0.71852771]","[-4.82636075 -2.73476243 -4.44573108  0.955923    0.98524914  0.48832389
 -7.63211176  5.95863742 -7.23290666 -1.53376027 -1.99754454 -1.16813667]","[0.21470676 1.6459014  0.27786659 0.23507462 1.78235119 0.31401658
 0.13240679 1.51252589 0.42741568 0.13637086 1.67055044 0.51228343]",5.331314765000116,8.868823905475438
[0.21797233 0.2332033 ],0.07400000000000007,0.47806354009077157,0.6626323751891074,0.9304084720121029,0.5506807866868382,0.7322239031770046,0.9425113464447806,"[-0.38411819 -0.04145176 -0.30521674  0.27863629  1.09593211 -0.52536469
 -0.3825904  -0.77513087 -0.23422319 -0.00750268  0.2489604  -0.02254394]","[ 0.55902648  1.65018424  0.71175125 -0.7253066   1.54509388  0.41795174
 -0.93944655  1.4833033   0.46175762 -0.25077627  1.75705924  0.6585214 ]","[-1.66845957 -0.33092891 -1.50454918  0.24787122  3.02790079 -1.29772726
 -0.92424198 -1.98049119 -0.76867379 -1.04999274  2.63933355  0.63112886]","[ 0.5512581   1.64913412  0.70056656 -0.72865867  1.54570262  0.41950911
 -0.93915459  1.48344376  0.46080744 -0.27198496  1.79999995  0.7023678 ]",5.420119768999939,7.57099799066782
[0.59200624 0.12576995],0.07100000000000006,0.4899057873485868,0.6810228802153432,0.9407806191117093,0.4468371467025572,0.6191117092866757,0.8882907133243607,[nan nan nan nan nan nan nan nan nan nan nan nan],[0.  1.6 0.5 0.  1.6 0.5 0.  1.6 0.5 0.  1.6 0.5],"[-10.77118296   1.19313914   8.3691825   -4.92944925  -5.56648959
  -4.80323052  -9.33263975  -7.51889532  -8.93515358  -2.31366055
  -0.72194512  -0.90181743]","[-0.53949401  1.52635458  0.28904731  0.38375428  1.51056632  0.53135222
  0.72977308  1.66768791  0.58732621  0.09873332  1.400014    0.6474916 ]",5.465336062000006,9.056913739070296
[0.07787267 0.44246783],0.122,0.5218579234972678,0.7103825136612022,0.9508196721311475,0.42896174863387976,0.6215846994535519,0.930327868852459,"[ 0.56948105  1.58449926  0.15191753  2.42662444 -0.2032311   0.08737068
 -1.0961913  -0.40727038 -1.17721916  3.1813824  -0.19115248 -0.74654646]","[ 0.29247292  1.59461199  0.36941427 -0.0108865   1.40000022  0.74865624
  0.31701792  1.62985936  0.36446989 -0.03261509  1.4         0.25000006]","[-0.86344984  4.05187103 -1.56804549  4.25100494 -0.20728048 -0.70039026
 -4.54588597 -4.14671819 -6.25698779  5.39880105 -0.16234765  0.94851829]","[ 0.28827076  1.59538075  0.36337433 -0.01120662  1.40001127  0.64062808
  0.30726541  1.61680475  0.34158567 -0.03403093  1.4042681   0.28950646]",5.776877266000156,8.871849217452109
[0.1031096  0.48058548],0.07899999999999999,0.4707846410684474,0.656093489148581,0.9532554257095158,0.5191986644407346,0.7161936560934892,0.9666110183639399,"[-2.66794335 -1.44043466 -2.81022671 -0.04163221  0.28358311  0.57198735
 -3.28279575  1.4939483  -3.43562916 -0.21813971 -0.29823377 -0.07520946]","[ 0.03151123  1.55140529  0.41580956 -0.01192228  1.48348449  0.55211752
  0.68129835  1.47816415  0.54518148 -0.7527562   1.47702597  0.2891592 ]","[ -2.89817602  -3.46731825  -3.15074404   0.01743276   0.98439236
   0.0861245  -10.29463012   3.54908424 -11.06848181   0.71425331
   0.8010466   -0.98669921]","[ 0.0352249   1.51147174  0.47744646 -0.00993971  1.79999775  0.35845648
  0.65022699  1.47601518  0.51637385 -0.74702967  1.47976881  0.28793547]",4.97557568800039,8.109437397681177
[0.18298714 0.30353476],0.07100000000000006,0.485273492286115,0.6844319775596073,0.9523141654978962,0.5049088359046283,0.6788218793828892,0.9593267882187938,"[ 0.92737193 -0.50158099  0.92916977 -0.81972307  0.46971886  0.19746022
 -0.13703026 -0.15483721 -0.05119851 -2.63745681 -0.39064411 -0.70281853]","[ 0.22144026  1.44305826  0.57262512 -0.37978893  1.73511364  0.27929381
  0.27352054  1.73360559  0.64754841  0.10781345  1.51542506  0.2500025 ]","[  5.71941914  -3.27047692   6.04120045  -1.60979125   0.84365023
  -1.21413962   0.50083189  -0.89737007   0.79797967  -6.72621405
  -1.80767188 -11.66256278]","[ 0.22963494  1.40984502  0.58854132 -0.37785501  1.73438755  0.27623986
  0.29575607  1.71927015  0.71130949  0.11013577  1.51227758  0.25327216]",5.365808650999952,8.504691415466368
[0.67363899 0.11161503],0.07100000000000006,0.5133689839572193,0.6951871657754011,0.9505347593582888,0.4532085561497326,0.6550802139037433,0.9371657754010695,"[ 0.07667201  0.63988391 -0.29200831 -0.06284632 -0.09690481 -0.19731107
 -4.37581301 -0.05494373  1.31466519  1.40150674 -0.08899967  0.14265475]","[-0.00967945  1.8         0.43581533 -0.33182134  1.41155686  0.52851345
 -0.29636699  1.74048252  0.74999963  0.47259849  1.40552917  0.74998785]","[  0.32017016   6.83634751  -0.95728422  -3.87008214  -1.35021174
   2.71726019 -12.09630822   1.15577436   9.65429487  -1.99930916
  -2.99238609  -1.19805185]","[-0.00957148  1.8         0.42463864 -0.3662416   1.4         0.58449942
 -0.29798171  1.77797509  0.75        0.41117769  1.4         0.65999704]",4.599341361999905,7.532212756574154
