runtime_sec,len_scale
12.772888660430908,[0.26158177 1.55031304]
11.621510744094849,[0.26264377 1.54663497]
14.424391746520996,[9.85566752 0.13419045]
11.864843130111694,[0.26297579 1.54280704]
12.650275230407715,[0.26020397 1.55127445]
11.592689037322998,[0.26180439 1.54979096]
12.095945596694946,[1.10258005 0.33515902]
11.673426151275635,[0.2629233  1.54512702]
13.094171524047852,[0.26121153 1.54402325]
13.646384239196777,[0.26188006 1.54968267]
12.452868938446045,[0.26012684 1.5468986 ]
8.707306385040283,[0.26165869 1.55345661]
17.351884603500366,[0.26118017 1.5440327 ]
12.787644624710083,[0.26188704 1.55065421]
16.143780946731567,[0.26106541 1.54404019]
12.19248628616333,[0.26375088 1.5494457 ]
16.02173089981079,[0.26207297 1.54581495]
11.23653268814087,[0.2626171  1.54967624]
11.480534076690674,[0.2615517 1.5503043]
9.138323307037354,[0.26371143 1.54968144]
11.767260789871216,[0.26148024 1.55007961]
11.680862188339233,[0.26004773 1.54577117]
13.581460237503052,[0.26449321 1.5452001 ]
11.78739857673645,[0.26212461 1.54981534]
14.956775665283203,[0.26182555 1.55341746]
12.521401166915894,[1.09846303 0.33531496]
11.749198198318481,[0.26215019 1.54940096]
12.016330242156982,[1.09333147 0.33574008]
12.887146711349487,[1.09905834 0.33554204]
11.389552593231201,[0.26210599 1.54715095]
11.957209825515747,[0.26011866 1.55172556]
12.580248832702637,[1.10343098 0.33367809]
15.08676791191101,[0.26193827 1.55076831]
11.707312107086182,[0.26116275 1.54456793]
11.723810911178589,[0.26159611 1.55022016]
11.452477931976318,[0.26002622 1.55182838]
11.956765174865723,[1.09448999 0.33366005]
11.328809261322021,[0.26281708 1.54992647]
11.48378610610962,[12.34051927  0.1345203 ]
15.725648403167725,[0.26028881 1.5513042 ]
13.123525142669678,[0.26278342 1.55055863]
16.849255323410034,[0.26295472 1.54395776]
12.67805552482605,[0.26041346 1.54562691]
14.383184671401978,[0.26167281 1.55169401]
11.247679471969604,[1.0900716 0.3372635]
11.297403335571289,[0.26188505 1.55296764]
11.164260149002075,[0.25988902 1.54541397]
14.846329927444458,[0.26381624 1.54759313]
15.007252931594849,[12.44234991  0.1345428 ]
13.967957973480225,[0.26227552 1.54739938]
11.774805068969727,[0.26166401 1.55023766]
15.005868434906006,[1.10153512 0.33446602]
13.1193106174469,[0.26185511 1.55012262]
12.239347457885742,[1.09828589 0.33343128]
12.22391414642334,[0.26198277 1.55087743]
12.053058862686157,[1.09330231 0.33474694]
12.26603627204895,[0.26208944 1.55140337]
12.251336574554443,[0.26023882 1.54515132]
1086.4460196495056,[0.259327   1.54605368]
12.32838487625122,[0.26014876 1.54639856]
11.70194149017334,[0.26123219 1.54702175]
11.462898015975952,[0.25995897 1.54576428]
11.399693727493286,[0.26204198 1.54555134]
11.646386861801147,[1.09967324 0.33478533]
12.065518140792847,[0.264124   1.54902881]
11.639912605285645,[0.26185653 1.5435687 ]
11.468331336975098,[0.26092911 1.54466804]
12.56569528579712,[0.2602808 1.5512498]
13.551281929016113,[0.26082957 1.54432129]
12.879529476165771,[0.26167369 1.55336319]
11.772794485092163,[0.26209937 1.54673936]
12.242300271987915,[0.2629387  1.54217164]
12.203221082687378,[0.26192027 1.5499962 ]
11.979930877685547,[0.26473939 1.54470038]
11.664318323135376,[11.97595694  0.13404304]
9.039301633834839,[1.09879377 0.33516818]
12.58444857597351,[0.26203111 1.55313897]
11.228647232055664,[1.09887445 0.33356213]
11.623332262039185,[0.26186933 1.54989598]
8.857051372528076,[0.26035589 1.54312296]
12.195191383361816,[0.26159616 1.5517779 ]
15.243634462356567,[13.09712264  0.13399543]
15.486504077911377,[0.26006688 1.54519817]
15.252970457077026,[0.26217654 1.54625076]
14.322068929672241,[0.26240825 1.54930932]
11.174748420715332,[10.51514084  0.13443121]
16.119123220443726,[0.26199498 1.54959803]
12.932992219924927,[0.26109812 1.54354926]
14.610726118087769,[0.1604582  1.61703266]
11.887305498123169,[1.10320689 0.33525059]
14.788493633270264,[0.2601975  1.54581477]
9.134956121444702,[0.26112512 1.54395011]
14.599549055099487,[0.26189286 1.54979803]
14.671221733093262,[0.2602093  1.55117556]
14.9884614944458,[0.25980599 1.54690906]
11.6123526096344,[0.26193498 1.55064981]
11.502909421920776,[0.26141739 1.54981187]
10.006112098693848,[0.26038806 1.54481475]
11.30136227607727,[0.26355839 1.54987949]
13.388384580612183,[0.26202764 1.54950772]
