runtime_sec,len_scale
16.24239492416382,[0.54736442 0.79789648]
20.121861934661865,[0.55166679 0.78788182]
16.055501461029053,[0.55217681 0.78672191]
19.203171968460083,[0.55239066 0.78623725]
21.64064121246338,[0.54835863 0.79554499]
22.265954732894897,[0.27008465 1.60778753]
19.797940492630005,[0.53274258 0.83533493]
17.739078521728516,[0.550323   0.79096518]
22.84903573989868,[0.55218693 0.78669897]
21.10743737220764,[0.55056642 0.79040368]
18.872992038726807,[0.55157901 0.78808202]
19.65834617614746,[0.55146702 0.78833768]
17.916253805160522,[0.53254916 0.8358691 ]
15.220871448516846,[0.55242583 0.78601049]
19.014375686645508,[0.55096351 0.78949053]
14.312822580337524,[0.5518934  0.78736576]
21.831379652023315,[0.27018511 1.60596095]
15.401180744171143,[0.55027776 0.79134913]
17.36740255355835,[0.27008262 1.60782455]
16.903700590133667,[0.55180181 0.78755937]
15.754992008209229,[0.55101656 0.78936883]
18.223300218582153,[0.55063269 0.78994236]
18.348057985305786,[0.2700819  1.60782648]
13.908994436264038,[0.55133415 0.78864137]
13.24936032295227,[0.55154892 0.78815067]
20.79587459564209,[0.55092618 0.78957623]
16.186291456222534,[0.27008321 1.60781374]
16.603034257888794,[0.54670791 0.79946185]
17.68877649307251,[0.55245064 0.78585049]
19.428223609924316,[0.55168836 0.78783265]
15.494658470153809,[0.27007187 1.60784637]
16.03956413269043,[0.55186958 0.78741994]
21.93317461013794,[0.55123522 0.78886773]
16.463599920272827,[0.2700837  1.60780467]
19.942548513412476,[0.55241608 0.78607342]
17.28406596183777,[0.53572781 0.82722743]
17.909848928451538,[0.27008246 1.60782537]
19.581797122955322,[0.55221177 0.78664261]
19.666820287704468,[0.27008536 1.60777445]
21.469772815704346,[0.54830641 0.79566792]
24.047221899032593,[0.55240344 0.78615492]
15.077898740768433,[0.55125712 0.78881762]
19.362942218780518,[0.54088891 0.81379123]
20.91136598587036,[0.5411845  0.81304299]
17.764326572418213,[0.54811491 0.79611933]
17.220704793930054,[0.2700826  1.60782501]
18.185374975204468,[0.54467624 0.80437072]
16.774064540863037,[0.55202245 0.78707236]
17.92014169692993,[0.55239293 0.78622273]
14.614783525466919,[0.55175535 0.78768002]
17.819877862930298,[0.55132774 0.78865603]
22.15003991127014,[0.54893752 0.79418627]
16.830532550811768,[0.53552589 0.82776785]
19.29409122467041,[0.5324027  0.83627432]
17.57585597038269,[0.55072213 0.7900452 ]
20.87781524658203,[0.27008344 1.6078096 ]
17.82632279396057,[0.54462981 0.80448405]
21.555608987808228,[0.55242047 0.78604509]
17.92617177963257,[0.5331769  0.83391787]
21.416640281677246,[0.54864636 0.79486868]
19.10490655899048,[0.55226051 0.78643243]
20.21269679069519,[0.55270188 0.7842304 ]
16.46259570121765,[0.54034536 0.81507423]
17.681226015090942,[0.55085752 0.78973395]
16.550792694091797,[0.55197031 0.78719087]
19.280866146087646,[0.55233989 0.78635222]
23.434274435043335,[0.2700827  1.60782314]
20.972869396209717,[0.54187616 0.81130088]
15.57445740699768,[0.27008232 1.60782566]
23.442158937454224,[0.55188347 0.78738836]
18.140602350234985,[0.55154957 0.78814921]
17.966135025024414,[0.55241482 0.78608152]
17.214097261428833,[0.54890222 0.79451273]
25.91357684135437,[0.55228294 0.78648127]
17.273600339889526,[0.54495762 0.80368495]
20.475610494613647,[0.27008303 1.60781711]
19.851465463638306,[0.55029624 0.79102699]
14.975542306900024,[0.54155944 0.81209711]
16.4713454246521,[0.54972611 0.79234758]
22.99281358718872,[0.55214631 0.78679113]
20.141738891601562,[0.27017628 1.606121  ]
17.82211184501648,[0.54372089 0.8067134 ]
20.622334003448486,[0.27010239 1.60781591]
19.701451778411865,[0.54008961 0.8158258 ]
12.9951012134552,[0.54667823 0.79953285]
14.683469295501709,[0.55209965 0.78689704]
15.304429292678833,[0.53851775 0.81987566]
17.646280765533447,[0.55212579 0.7868377 ]
17.936983346939087,[0.54784415 0.79675899]
22.261079788208008,[0.54990168 0.79194014]
24.489891529083252,[0.55238921 0.78624053]
17.542634963989258,[0.55251957 0.78540587]
16.44033670425415,[0.55148713 0.78829176]
16.160176992416382,[0.54599763 0.80116682]
17.995022773742676,[0.55239066 0.78623726]
23.52705717086792,[0.55253611 0.78529922]
22.87992000579834,[0.55169023 0.78782839]
17.807641983032227,[0.55239063 0.78623732]
11.703026533126831,[0.27008264 1.6078251 ]
24.09163808822632,[0.54774264 0.79699923]
