hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.29941095 0.42687649],0.161,0.5416666666666666,0.75,1.0,0.5833333333333334,0.75,1.0,"[ 0.13892144  0.3069939   0.06385042  0.8909518   1.54649787  0.45312956
  0.57406891  1.03191448  0.73587848 -0.31028802  0.43784766 -0.36569353]","[0.22877002 1.65309775 0.48079069 0.35892175 1.7659833  0.74999932
 0.14972219 1.7999912  0.74975996 0.31978638 1.66037376 0.42938075]","[ 0.04573339 -0.16345289  0.02768141 -0.12557075  0.99060706  0.0850892
 -1.98943279 -0.63593791 -0.97103296 -0.09281907  0.42165265 -0.00546121]","[0.22314905 1.62215078 0.47568632 0.26278888 1.7999998  0.554917
 0.06131153 1.40000017 0.25       0.34118059 1.65665107 0.49721559]",12.979581695999968
[0.24260353 0.54356572],0.155,0.38461538461538464,0.6923076923076923,0.9230769230769231,0.2692307692307692,0.5384615384615384,0.9615384615384616,"[-0.64785683 -0.19800729  0.44476805  1.03711876 -0.40164643  0.66438442
  0.45904679  0.61075177 -1.12302765 -1.0423918  -0.32375074 -1.07250365]","[-0.37467398  1.43942551  0.69868908  0.14577735  1.47857569  0.40320419
 -0.1748643   1.8         0.37883345  0.21735213  1.40000005  0.32706284]","[-0.50972459 -0.55815591  0.32268634  0.43930113  0.07539679  0.57290785
  1.69893468  0.46793701 -1.44933729 -0.59255285 -0.19992258 -0.1928163 ]","[-0.32806739  1.45268963  0.61231293  0.14434956  1.54924508  0.46956116
 -0.13385738  1.79999997  0.34054609  0.2059489   1.4292341   0.37562179]",18.156663180000123
[0.33187196 0.39271722],0.197,0.65,0.8,0.9,0.7,0.9,1.0,"[-1.60704469 -1.10160287  0.63461906  1.87309257 -1.72439359 -1.81386626
  2.43181394  1.03140556 -0.31334283  0.44805398 -2.35169428 -0.54154957]","[-0.08595279  1.40000161  0.74999981 -0.21107237  1.57965843  0.31470045
 -0.22421013  1.47289079  0.25000027 -0.12763382  1.4         0.25      ]","[ 1.1676209   0.8290041  -0.6103261   0.16882522 -0.08455619  0.1188845
  0.69703146 -0.10173614 -0.39307734  1.06215544  0.69790716  0.55251741]","[-0.03724812  1.79999989  0.27465208 -0.25235733  1.63674185  0.45676979
 -0.2318613   1.40000004  0.31299813  0.01609231  1.79772339  0.73525692]",12.53108359099997
[0.2473899  0.62553607],0.224,0.4444444444444444,0.7037037037037037,1.0,0.5925925925925926,0.7407407407407407,1.0,"[ 0.06966979  0.14814147 -0.55324299 -0.21435998  0.74414608  0.2429647
  0.003731   -0.118283   -0.22150597 -0.56693409 -0.7517234   0.00537497]","[ 0.15866919  1.66935832  0.33774536  0.40473007  1.59053808  0.74999999
  0.28634463  1.40816886  0.43525294 -0.0122643   1.40002245  0.74689576]","[ 0.70006971  0.56889788  0.30611181 -0.19200431  0.4181327   0.27025647
  0.48836132 -0.17480614  0.48154337 -0.57697276  0.07821771 -1.29045089]","[0.17676095 1.69611615 0.38081663 0.40839573 1.59765772 0.74999979
 0.39263022 1.4        0.69170974 0.01438451 1.69647808 0.25000001]",17.538585588999922
[0.19695793 0.67764442],0.164,0.4782608695652174,0.6956521739130435,0.9565217391304348,0.4782608695652174,0.8260869565217391,1.0,"[ 1.80472752  2.22002619 -1.35533187  1.3224411   0.4042479   1.59244871
  0.59527867  0.01736506 -0.63327321  0.00755564 -0.88534182 -0.21374038]","[-0.37103317  1.58000986  0.45928038  0.52264222  1.79999987  0.63901551
 -0.18667924  1.76278321  0.45617748 -0.27045806  1.40000262  0.53205288]","[ 2.38919587  3.56479943 -1.84658981  1.31257777  0.65526496  0.77791669
  1.52283555  0.12653856 -1.29768446 -1.59635651 -0.54965524  0.32686221]","[-0.36243144  1.60330618  0.44768859  0.54081313  1.71576257  0.69732761
 -0.17807605  1.79959222  0.44343468 -0.37452919  1.40004899  0.74974769]",12.927613304999795
[0.198844   0.62097616],0.158,0.52,0.72,0.96,0.48,0.72,0.88,"[-2.56713035  1.19745558  0.2561578   0.47600212  0.29017853 -0.20746692
  1.21867386 -0.48982879 -0.13848096  0.55649291  0.86006954 -0.95631111]","[-0.39679224  1.58197428  0.74992228  0.13361008  1.72738436  0.2565796
 -0.05066333  1.47816859  0.25000012  0.24971554  1.74623103  0.28299263]","[-0.60581945  1.72559271  0.34659385  1.45905336  0.36951376  1.36384606
  0.87767985 -0.4044001  -0.09790027  1.73160516  0.6124066   0.11087303]","[-0.41025596  1.60794383  0.74973615  0.14510226  1.73576389  0.45654297
 -0.0547251   1.58495858  0.25000324  0.24184194  1.79999988  0.38607762]",15.388620309000089
[0.12826603 0.74034104],0.186,0.5909090909090909,0.7272727272727273,0.9545454545454546,0.4090909090909091,0.5454545454545454,0.8636363636363636,"[ 0.07942051 -0.53735109  0.03849909 -0.48765996  3.30402348 -1.00048212
  0.58006845  0.75072651  0.38877596  0.93965812 -1.09900161 -4.39432878]","[-0.72620973  1.60836825  0.51811037  0.16765265  1.60866155  0.25000057
  0.43820071  1.49361723  0.35364236  0.2289119   1.60978491  0.27207344]","[ 1.02690829 -0.90250275 -1.99454443 -0.51009828  0.92076442 -0.36202926
  0.55539919 -0.18724236  1.4096454   0.23090998  0.4589764   0.59536033]","[-0.70201968  1.60442333  0.46994126  0.1513632   1.77420961  0.51078171
  0.47370883  1.40305523  0.4873367   0.2563169   1.79880106  0.71087603]",12.670414803999847
[0.50563024 0.50087056],0.17,0.5483870967741935,0.6451612903225806,0.9032258064516129,0.45161290322580644,0.6129032258064516,0.9032258064516129,"[ 0.08390572 -0.00642285  0.1249517   0.47750939 -0.11829111  0.30523762
  3.4450558   0.58219092 -2.15254359  0.88029847  0.20368973 -0.73779288]","[-0.37460615  1.71477395  0.40703372  0.53956198  1.40000244  0.74633729
 -0.33229753  1.79999998  0.4387925  -0.19542461  1.72050611  0.38284628]","[-0.08505036 -1.67382904  0.36960042  2.80232307  0.8511402   0.24645015
  5.70790315 -2.56282886 -4.39895344  0.34895103 -0.75843117 -0.28944039]","[-0.37961429  1.67878255  0.4186109   0.54841784  1.71498495  0.74999992
 -0.23852217  1.6445263   0.30604659 -0.2385703   1.40000004  0.45541202]",14.599251375000222
[0.29915474 0.45434754],0.179,0.5806451612903226,0.7096774193548387,0.9354838709677419,0.6451612903225806,0.7741935483870968,1.0,"[-0.76979384 -1.31652027 -0.90653723 -0.2784389   0.33247396 -0.17808148
  0.10513185 -0.13014608  0.25286363 -0.5345287   0.35988302  0.36796314]","[ 0.36810888  1.72075753  0.44375145  0.15622155  1.73333455  0.36280594
 -0.44588851  1.57863565  0.32908938 -0.45769212  1.73853945  0.48723671]","[ 0.08237734 -0.88246817  0.06801548  0.41686313  0.5352467   0.96767278
  0.50011438  0.95556943 -0.06515188 -0.39640976  1.40073449  0.35403375]","[ 0.4161075   1.72553934  0.51139534  0.31048851  1.79999122  0.72226089
 -0.41565235  1.61209033  0.31194581 -0.37372329  1.75878281  0.41572186]",19.453704117000143
[0.28623144 0.5175982 ],0.247,0.45161290322580644,0.6451612903225806,0.9032258064516129,0.3548387096774194,0.4838709677419355,0.8709677419354839,"[-0.97864473 -0.97834094 -0.7272369  -0.22892106 -0.03935257  0.0758127
 -3.94034631  1.09589129  3.16774893  0.26581479  0.19108799 -0.30601147]","[ 0.32698466  1.4891548   0.58497917 -0.63970893  1.71210635  0.74999835
 -1.          1.69440157  0.3466138   0.4015722   1.6544791   0.30402802]","[-1.0592956   0.19750905 -0.82119651  5.3537535  -5.11660522 -5.71081194
 -8.14512603  1.3861991   3.43392641  0.5801917   1.75962541  0.43654399]","[ 0.33041365  1.568291    0.58454526 -0.35127424  1.50608452  0.36059266
 -0.99999938  1.6955486   0.34798318  0.42712268  1.73379606  0.33936097]",15.499711791000209
