hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.141344   0.63048285],0.15720617665336267,0.6,0.88,1.0,0.68,0.8,1.0,"[-4.63145408 -1.61135805 -4.2215564   0.05049344  0.28278211 -0.07611564
 -2.32784665  1.55602514 -1.23526723 -0.39542562 -1.36647053 -0.65004476]","[0.41828893 1.65514906 0.37996195 0.01700344 1.78834766 0.54040006
 0.18982492 1.58458444 0.34933128 0.08904788 1.44688437 0.27702968]","[-0.60200066 -0.9817809  -0.50498493 -1.42179147 -1.22240405 -0.7113322
 -0.14410228  0.63831943  0.16268672 -2.40441259 -0.99292134 -0.71297892]","[ 0.4549807   1.66874895  0.41950822 -0.01208871  1.4         0.25000005
  0.24223003  1.5294329   0.50148116  0.04624421  1.40000208  0.25000001]",8.500425474000167
[0.45892624 0.44493201],0.14307615806344154,0.2903225806451613,0.5483870967741935,0.967741935483871,0.6451612903225806,0.8064516129032258,1.0,"[ 0.09232487 -0.02584824  0.13513155  0.31660956  1.31235018 -0.56695083
  0.04619018  0.13028193 -0.05282029  0.25657415 -0.44918951  0.39181647]","[ 0.99834639  1.55816101  0.68738711 -0.09768754  1.71700185  0.36225779
 -0.52348782  1.66541534  0.58374312  0.73945998  1.72628864  0.46773041]","[ 0.36938578 -0.97574822  0.75954915 -0.21521824  0.95605949 -2.16221374
 -0.19195366  0.4702272   0.02586347  0.53947433 -1.50516022  0.8909375 ]","[ 0.99999912  1.51953062  0.69037154 -0.11661941  1.79999999  0.27476778
 -0.56775623  1.70496988  0.59735326  0.79404348  1.66020553  0.53997026]",8.754401482000048
[0.01222635 0.02346536],0.16020617665336268,0.68,0.76,1.0,0.12,0.16,0.36,"[ 0.56878495  0.23605984 -0.38909806  0.39204053  0.37588958 -1.44251888
  0.49439057 -0.18108963  0.61931972 -0.76919166 -1.10393226  0.76291417]","[-0.13246362  1.45650336  0.58509152 -0.69465494  1.5962738   0.33304866
  0.27360733  1.64554073  0.38298385 -0.01452379  1.40010263  0.74070592]","[ 1.10015893e+01 -1.55591156e-02 -1.38478887e+00  1.77534618e+01
 -6.37394080e-01 -2.25488264e+00 -2.82033398e+00 -7.19195925e-01
 -6.97469959e-01  1.77689612e-01 -9.35410837e-01 -1.38329244e-01]","[ 0.03064745  1.40000003  0.25       -0.11981124  1.40001047  0.25000001
  0.09846299  1.41827848  0.25        0.04707266  1.40001449  0.33303403]",8.584872863999863
[0.39999298 0.30899002],0.2950095096526628,0.3793103448275862,0.5172413793103449,0.7931034482758621,0.6206896551724138,0.8620689655172413,1.0,"[ 0.54027613  2.08100264 -0.27967463 -1.21849766 -0.87329096  0.55542433
  0.65776275 -0.60548376  0.17691899  0.09441313  0.02252119  0.48009855]","[-0.53296149  1.52051905  0.55996755 -0.24586278  1.40775928  0.74999991
  0.53724414  1.40000006  0.56284425  0.52617094  1.79999892  0.50923105]","[ 0.42452484  3.17875469 -0.31661433 -1.36964372  0.12832755  0.61853683
 -6.74858623 -1.96472544 -0.89148761 -1.81253812 -0.98211336 -0.71221453]","[-0.51698954  1.60502215  0.53616113 -0.32732062  1.79999984  0.74905084
  0.25918573  1.43513134  0.25000549  0.31224818  1.7154651   0.33544337]",8.622322620000432
[0.32868023 0.32987856],0.23600738195898874,0.4827586206896552,0.7586206896551724,0.9655172413793104,0.6896551724137931,0.8620689655172413,1.0,"[-0.11205635  0.02332431 -0.12772264  0.68999537 -0.01511872 -0.70436168
  0.06550514 -0.27645602 -0.35413697  2.23716838  0.34447942  0.3243653 ]","[ 0.04590622  1.65114022  0.36683252 -0.24870141  1.78652614  0.47876457
  0.05642259  1.40000004  0.45138139  0.91345987  1.79999999  0.7489639 ]","[ 0.20593104  0.73749754  0.77023757  1.48379055 -0.16378998 -1.23404809
  0.13373517 -0.38812506 -0.31618127  0.9054045   0.34188364  0.29211927]","[ 0.08488265  1.79559893  0.63087966 -0.21483191  1.74322652  0.35835089
  0.06280547  1.40000053  0.47722087  0.87382132  1.7999993   0.73519383]",8.531403556999976
[0.18121525 0.38630392],0.16182551858238492,0.6538461538461539,0.7692307692307693,0.9615384615384616,0.46153846153846156,0.7692307692307693,1.0,"[-0.40043754 -0.60587789 -0.38839842  0.33203384 -0.19908296 -0.32399142
 -0.24898521 -0.5027838   0.1553156   0.61506906 -0.90002224  0.03812101]","[ 0.57490231  1.72035643  0.51157391 -0.66027171  1.73301211  0.50501078
 -0.08580861  1.56364849  0.31497761 -0.15959236  1.40000054  0.74999319]","[ 3.49428711e-01  1.04596297e-03  4.15921386e-01  6.28530942e-01
 -5.81639013e-01 -5.38504777e-01 -9.43378549e-01 -6.48884942e-01
  7.91705025e-01  2.53415455e+00 -1.07147098e+00  1.52546551e-02]","[ 0.69768323  1.77021385  0.62562242 -0.61152428  1.72322481  0.48087693
 -0.17635484  1.40000822  0.54195335 -0.02951109  1.40000498  0.73874813]",8.474122055999942
[0.01159712 0.24780729],0.14508099388189788,0.6,0.7,0.9666666666666667,0.4,0.6,0.8333333333333334,"[-5.12392305  1.40987488 -5.33324158  0.12445354 -0.09983014 -0.11996576
 -2.98485954  3.80321587 -5.90057516  2.10269608 -0.07842837 -1.19792589]","[ 0.13494235  1.55690977  0.34578906  0.38330092  1.47790382  0.33653959
  0.30691585  1.63806857  0.27537667 -0.02942274  1.4         0.25      ]","[-4.65515708 -0.19919787 -3.77560133  0.34777509 -0.91571922  0.2186908
 -1.83503318  0.87846907 -2.65427852  0.46880656  0.52708507 -0.62035656]","[ 0.1501331   1.40000017  0.43425842  0.39825953  1.4         0.35824201
  0.29936298  1.54210424  0.32188683 -0.02413145  1.56590839  0.52918703]",8.548513175999688
[0.72557101 0.95233671],0.20605669571732843,0.47619047619047616,0.7619047619047619,0.9523809523809523,0.5238095238095238,0.6666666666666666,0.9523809523809523,"[ 0.55825623 -0.21573765  0.57531083  0.64601183  1.3682303   0.52168117
 -1.83287628 -0.56640742 -0.52469854 -1.12625319  1.62558904 -1.39317013]","[ 0.32937356  1.65680405  0.43791403  0.26634996  1.735965    0.74998148
 -0.02024629  1.40000038  0.25000115  0.15596408  1.68100851  0.25000093]","[ 0.77437417 -0.02807619  0.7497727   0.76455313  0.74219221  0.48733171
 -2.3317409  -0.76674334 -0.70843851 -0.62723093  1.09055195 -0.43227964]","[ 0.33143324  1.66424826  0.43895771  0.25337881  1.56453612  0.74984092
 -0.02177396  1.40000046  0.25000019  0.15536025  1.62640595  0.32982172]",8.658023758000127
[0.39699166 0.612854  ],0.16605939551339177,0.5909090909090909,0.6363636363636364,0.9090909090909091,0.5,0.6818181818181818,1.0,"[-1.45315788 -2.31038394 -2.36308251 -0.53420928 -0.14817486  0.4600305
 -3.96624861 -3.22043491 -4.77898692  0.28246638 -2.72894273 -0.77529512]","[ 0.18072387  1.59848695  0.33170232 -0.86416348  1.40000003  0.68213938
  0.32350255  1.48120187  0.29595106  0.43985715  1.47504547  0.34755491]","[-1.42834211 -2.3928761  -2.2025622  -0.29114399 -0.12716543  0.45788424
 -1.78706854 -2.23624602 -2.06939831  0.58716275 -0.86744534  0.28365921]","[ 0.18672737  1.60594912  0.3409728  -0.73471984  1.40000052  0.55815754
  0.38659239  1.48393336  0.3809537   0.62202138  1.4189157   0.53996385]",8.55635809899968
[0.325755   0.41526693],0.14508099388189788,0.4,0.6,0.9333333333333333,0.43333333333333335,0.6333333333333333,0.9666666666666667,"[-0.21514709 -0.1390039   0.20143132 -0.70367942  0.00611297 -1.32449923
  1.65679864  0.31280443  0.33689152  1.20229374 -0.29474584 -2.87723434]","[-0.56392308  1.40000225  0.68214128  0.2238561   1.44508357  0.28360053
  0.39282883  1.8         0.74984879 -0.67211387  1.73249613  0.36110903]","[ 0.67302549 -0.68842188 -0.70996721  0.24727683 -0.07708542 -0.91672573
 -0.50131044  0.4585813  -1.04967159  0.64761439  0.15693367 -1.00978151]","[-0.5124238   1.40000001  0.61003552  0.30844672  1.41571757  0.30853465
  0.25818999  1.79999986  0.40419482 -0.65948838  1.79056478  0.40308023]",8.74211066900034
[0.0516041 0.2406491],0.20700864380643735,0.5925925925925926,0.7777777777777778,0.9629629629629629,0.7777777777777778,0.9629629629629629,1.0,"[-1.88117047 -0.06771055  0.05487869 -0.77054478 -0.43705509  0.32586373
 -1.42562013 -0.25638777  0.92058633 -0.08084947  0.36653235  0.17645296]","[-0.66125558  1.40000029  0.74999988 -0.58219426  1.40000002  0.62641989
 -0.31919659  1.56624832  0.74817147  0.26539901  1.53963465  0.31661652]","[-0.36351315  0.39747735  0.03801202 -0.0968731   0.1918937   0.42625837
  0.13906865 -0.66422327 -0.37468947  0.06670021  0.01685654 -0.09766141]","[-0.64840603  1.46928581  0.74950583 -0.50684067  1.59358667  0.65249323
 -0.14732774  1.53634788  0.31936195  0.27497841  1.5138611   0.25009287]",8.700161692000165
[0.40069109 0.35839312],0.1548255185823849,0.4230769230769231,0.5384615384615384,0.8846153846153846,0.6153846153846154,0.7692307692307693,0.9230769230769231,"[-11.71836345  -1.26949909  -1.24081209  -1.13280779   0.363429
  -0.206761     2.87964845   0.34936612   0.78935723   1.22089901
   1.025321    -3.03487185]","[ 0.04723274  1.61773281  0.25000023  0.31584204  1.61919949  0.25000012
  0.45845969  1.79999384  0.74968317 -0.09884033  1.7853993   0.25000008]","[-9.79744961 -1.27258329 -7.23571908 -0.3942896   0.36721334  0.25911285
  3.08254496  0.49068304  0.6691743   0.78446833  2.79497505 -3.43804524]","[ 0.04854629  1.60925527  0.25000005  0.32025125  1.62920773  0.27457385
  0.46835648  1.79999796  0.74983152 -0.11729471  1.72012692  0.25000012]",8.739910307000173
[0.24178702 0.35536219],0.1530322904020519,0.5862068965517241,0.7586206896551724,0.9310344827586207,0.6896551724137931,0.896551724137931,1.0,"[ 0.8732011   1.10526172 -0.67443378 -0.85445658 -0.16859585  0.38065176
 -0.05916842  0.20075301 -0.02975293  0.19346521 -0.03200024  0.11787089]","[-0.42669335  1.45198499  0.34936234 -0.48492498  1.4         0.65341323
 -0.34012267  1.76174948  0.71872192  0.43419754  1.4         0.5033579 ]","[ 3.08365479  3.12558775 -2.33069232 -0.92369208 -0.05569301  0.78484274
  4.26481314  0.10156293 -6.74922488 -1.7000692  -0.02880639 -1.75206664]","[-0.4076676   1.4907312   0.33283061 -0.58195082  1.4234757   0.74449634
 -0.16474294  1.6939942   0.27764997  0.29282728  1.40053369  0.33895085]",8.713671633000104
[0.0242623  0.31933923],0.16306209530945504,0.5217391304347826,0.6086956521739131,0.9565217391304348,0.6086956521739131,0.6521739130434783,0.9130434782608695,"[ 0.4185275  -1.5957617   0.52511168 -1.38302034 -0.10776667 -0.72793588
  0.45376577  1.91542776 -0.75699507  0.89337967 -1.13205837 -1.32400393]","[ 0.38084074  1.54458653  0.33911452  0.4567487   1.66395605  0.29953849
 -0.24159328  1.54332282  0.27804808 -0.07754456  1.47371031  0.25000089]","[ -0.08349457  -1.21632103  -0.11550199  -0.40279591   0.43102341
   0.12863451  -0.30016345   0.92014134   0.55037545  -0.13721477
  -0.76723904 -15.75415131]","[ 0.3678244   1.5450221   0.31869537  0.46766059  1.68351057  0.33431642
 -0.35816843  1.62391731  0.52398803 -0.11235404  1.55030818  0.25000001]",8.659355120999862
[0.45620303 0.63328334],0.1600647951055183,0.625,0.7916666666666666,1.0,0.6666666666666666,0.8333333333333334,0.9166666666666666,"[-0.47218354 -0.29496507  0.23001814  0.16426945  0.75783097 -0.05115303
 -1.89619809 -1.27675276 -1.24135005  0.21168067  0.22020918 -0.25849801]","[-0.19177408  1.71722483  0.51831709  0.55735808  1.66259514  0.36720838
  0.51797329  1.69630735  0.32042345 -0.39696302  1.74452434  0.34272235]","[-0.52343118 -0.14248713  0.22329921  0.54896614  0.99617055  0.23865447
 -1.18266223 -1.41428109 -0.54468134  0.37796273  0.13274846 -0.13912039]","[-0.18012048  1.73460361  0.46955961  0.60733047  1.66971892  0.39137083
  0.52999692  1.68874712  0.34755563 -0.37405136  1.73494318  0.35758131]",8.575842220999675
[0.09867932 0.33363632],0.1497442062027735,0.39285714285714285,0.6428571428571429,1.0,0.6071428571428571,0.7857142857142857,1.0,"[-0.08867893  0.07620287 -0.24062516  1.23806098 -0.14413155 -1.54204546
 -0.34992635 -1.62674665 -1.44139136 -0.22079444 -0.13912546  0.56351553]","[ 0.34349483  1.79999958  0.66928189 -0.34517207  1.40000022  0.3836748
  0.35685868  1.74683555  0.28316503  0.05468884  1.40043027  0.74926241]","[ 1.59419800e+00  1.02097350e-01  1.15952123e-01  6.37190108e-01
 -2.29225508e-02 -5.36403416e-01 -6.18539172e-01 -2.38590870e+00
 -1.89188312e+00 -1.56332452e+00 -1.21118878e-03 -6.13067491e-01]","[ 0.380399    1.79933999  0.74998738 -0.3672237   1.40000031  0.425293
  0.34718059  1.72273177  0.2721956   0.03125897  1.45234461  0.25000001]",8.701623249000022
[0.5520348  0.44159664],0.19674420620277355,0.4642857142857143,0.6428571428571429,0.9642857142857143,0.6785714285714286,0.8928571428571429,1.0,"[-0.53750797  0.10053468  0.3799644  -4.12890683  0.86003269 -1.46878599
 -0.09334585  0.90729634 -1.14323012  0.13100337 -0.05616149 -0.01396765]","[-0.2822041   1.54752452  0.2731482   0.06178236  1.64269699  0.25000011
 -0.02304456  1.79765913  0.25740316  0.32856852  1.42512067  0.40521098]","[ 0.354638    0.34128962 -0.28015195 -3.03816562  1.0361907  -1.17686141
 -0.12082916  1.59296143  0.00352912 -3.07729359  1.63149665 -1.99092753]","[-0.26953803  1.55540469  0.26000093  0.06520344  1.70841973  0.25001143
 -0.06809648  1.78891974  0.64085762  0.21578472  1.56573549  0.25006207]",8.635284478999893
[0.00849011 0.21092722],0.14707829408583462,0.6896551724137931,0.7586206896551724,0.896551724137931,0.2413793103448276,0.5517241379310345,0.8275862068965517,"[-1.24161418  0.11306254  0.9708782   0.58197113 -0.15844245 -0.75295643
 -3.7086963  -0.14455039 -4.04558501  0.02131109  1.08614515  1.13904258]","[-0.28399424  1.79998126  0.54020259 -0.45546588  1.49651301  0.38606189
  0.29043085  1.5722415   0.30792838  0.9999653   1.51505103  0.62829904]","[ 1.50100261 -1.24118041 -2.34841157 -0.48152962  0.92477194  0.38029314
 -2.61627166 -0.47197294 -2.76336208 -0.075674    0.04530204  0.09101512]","[-0.18469486  1.72416452  0.32384406 -0.72604524  1.61863006  0.613332
  0.32251397  1.4         0.36398565  0.84380901  1.40933412  0.61862904]",8.555403475000276
[0.38525973 0.35466802],0.16100864380643737,0.4074074074074074,0.5925925925925926,0.9629629629629629,0.5925925925925926,0.7777777777777778,1.0,"[-0.32822647  0.40766881 -0.57574389 -7.38662394  1.49829164 -1.02815198
  4.68793949 -0.33972439 -0.78722362 -0.55783622  0.42703309 -0.12617047]","[ 0.25152091  1.56992669  0.28874206  0.07117757  1.51446739  0.25000349
 -0.07011364  1.72762699  0.25009606 -0.47453066  1.79999793  0.25010292]","[-0.40061932  0.26176807 -0.62804488 -1.10949495  0.34646632 -0.78136238
  2.05243114  0.0555998  -0.87359816 -0.94069013  1.90231589 -1.43112296]","[ 0.24644736  1.56891067  0.28162884  0.08043948  1.47240793  0.33269025
 -0.08161977  1.78763957  0.25000002 -0.49165299  1.8         0.25      ]",8.835243133999938
[0.15864627 0.51089118],0.18630433772523214,0.43333333333333335,0.6,0.9333333333333333,0.36666666666666664,0.5666666666666667,0.8333333333333334,"[ 1.83005107 -1.0816941   1.10594844 -0.26717606  0.27234171  0.18123842
  0.96660068  0.04064176  0.29350455  0.01952645  1.36808923 -0.40279894]","[ 0.27698021  1.40000014  0.45926928  0.27825676  1.79999933  0.61557336
  0.40681635  1.78081099  0.41657572 -0.01693133  1.79999948  0.2500011 ]","[ 2.50323985 -1.31986512  2.06001387 -0.39178989  0.97622604  0.58295734
  1.11939522  0.06357049  0.24464543 -0.0832977   1.10025306  0.58792811]","[ 0.29968468  1.4         0.50731896  0.2902493   1.8         0.75
  0.41657682  1.7964199   0.40754204 -0.03938719  1.8         0.5881345 ]",8.65476634200013
