runtime_sec,len_scale
2.834332227706909,[0.26211093 1.54700114]
2.7883801460266113,[0.26205927 1.55128586]
2.9655661582946777,[0.15535974 1.60966872]
2.6710851192474365,[0.26208015 1.55125736]
2.8077616691589355,[0.04887779 1.56873707]
2.810584306716919,[0.26208106 1.54633001]
2.7568111419677734,[0.26211269 1.54697078]
2.7800381183624268,[0.26210808 1.54695865]
2.830575466156006,[1.0988766  0.33551277]
2.8928041458129883,[0.51797446 0.83340895]
2.8069567680358887,[0.26209062 1.5463327 ]
2.789539337158203,[0.26207512 1.54634918]
2.8800952434539795,[0.26210637 1.54695539]
2.7487540245056152,[0.26211546 1.54704632]
2.7510874271392822,[0.26112651 1.54399735]
2.7849085330963135,[1.09885949 0.33549178]
2.7053816318511963,[0.26123799 1.54466716]
3.183140516281128,[0.26211705 1.54705325]
3.1806912422180176,[0.51552372 0.83652182]
2.6887760162353516,[0.26207159 1.54633236]
2.682493209838867,[0.26211715 1.54707075]
2.6877174377441406,[0.26209956 1.54628631]
2.717494010925293,[0.26207677 1.55126936]
2.6817965507507324,[0.51550859 0.8364224 ]
2.768524408340454,[0.26211606 1.54705618]
2.8124496936798096,[0.26207786 1.55125949]
2.7284529209136963,[0.26192548 1.55333359]
2.711672067642212,[0.26211372 1.54703472]
2.7633321285247803,[0.26209565 1.551255  ]
2.833228588104248,[0.2621152  1.54706313]
2.7606725692749023,[0.51551968 0.83647919]
2.7325849533081055,[0.26211178 1.54701815]
2.737485885620117,[0.2621111  1.54701946]
2.782771110534668,[0.26211754 1.54710116]
2.737626075744629,[0.15539097 1.60957417]
2.711094856262207,[1.09885277 0.33550433]
2.738091230392456,[1.09372585 0.33422846]
2.818185567855835,[1.09887282 0.33552268]
2.7746691703796387,[0.26211334 1.54697295]
2.6988027095794678,[1.09887249 0.33549003]
2.7641870975494385,[1.09891585 0.33550087]
2.716634750366211,[0.26206841 1.55126767]
2.7378528118133545,[1.09373226 0.33424535]
2.725867509841919,[0.26432133 1.53290425]
2.711805820465088,[0.26207296 1.54636441]
2.720911979675293,[0.26211636 1.54705651]
2.6907994747161865,[0.26200781 1.55134646]
2.7250263690948486,[0.26211025 1.54695691]
2.8139686584472656,[0.5155079  0.83713985]
2.7337865829467773,[1.09880949 0.33549396]
2.700899839401245,[0.26193455 1.55331949]
2.723857879638672,[0.5154949  0.83669023]
2.7190680503845215,[0.26211175 1.54703026]
2.7844927310943604,[0.26201942 1.55132109]
2.71484112739563,[0.26207994 1.54630159]
2.7097840309143066,[0.26199212 1.55134268]
2.702120065689087,[0.2620971  1.54624861]
2.7686359882354736,[0.26212082 1.55122779]
2.7554585933685303,[0.0075   1.568998]
2.7884864807128906,[1.09895663 0.33547842]
2.7053260803222656,[0.51548116 0.83690933]
2.672072172164917,[0.26211089 1.54701263]
2.764719009399414,[1.09887134 0.33548962]
2.727008104324341,[0.26211693 1.54702008]
2.700380802154541,[1.09507064 0.33384277]
2.703223943710327,[0.26207615 1.55127998]
2.716049909591675,[1.09877742 0.33549422]
2.7653822898864746,[0.2621103  1.54695583]
2.7365400791168213,[0.26213005 1.55119566]
2.739696502685547,[0.2620723  1.54638008]
2.7663869857788086,[0.26211286 1.54699572]
2.6956348419189453,[0.26207975 1.54629971]
2.755530595779419,[0.26209851 1.55123802]
2.747711658477783,[1.09894453 0.33548841]
2.7018535137176514,[1.09373105 0.33423744]
2.7060768604278564,[1.09886919 0.33548436]
2.8047842979431152,[0.26211258 1.54699759]
2.7157373428344727,[0.26211842 1.54708785]
2.7440569400787354,[0.26206956 1.55127878]
2.6822803020477295,[0.26205889 1.54628788]
2.7204861640930176,[0.26211561 1.54706192]
2.759235382080078,[0.26211295 1.54699941]
2.757538318634033,[0.26207325 1.54632119]
2.715427875518799,[0.5155319  0.83633488]
2.6805081367492676,[0.15669869 1.61940417]
2.722447395324707,[0.26208851 1.55125832]
2.7909445762634277,[0.26206264 1.55127259]
2.688040256500244,[1.0987411  0.33550113]
2.7056212425231934,[1.09304017 0.33481044]
2.7801761627197266,[0.26104559 1.54407136]
2.7230587005615234,[0.26206916 1.55126813]
2.70149302482605,[0.26200473 1.55134965]
2.7397279739379883,[0.5154354  0.83696789]
2.700620651245117,[0.26212199 1.55120488]
2.7582647800445557,[0.26204087 1.55131734]
2.6932897567749023,[0.26207109 1.55128586]
2.716295003890991,[0.26211598 1.54705197]
2.71292781829834,[1.09882812 0.33550187]
2.724154472351074,[0.26210778 1.54697085]
2.6769518852233887,[0.26210928 1.54696454]
