hyperparameter,loss_score,upper_bounds,lower_bounds,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.43773319 0.70557155],0.15857400787658726,78,78,0.56,0.64,0.88,0.36,0.68,0.96,"[-10.33151712   2.90725413  -6.00287441   2.83228449  -0.55844695
   0.97741796  -0.45935123   0.25625462  -0.3224277    0.36822676
  -0.32478547   0.2726848 ]","[0.15664933 1.53582431 0.25       0.39916056 1.4086568  0.74957495
 0.34401459 1.79999996 0.48566305 0.31034372 1.4449905  0.4422327 ]","[-12.48515781   4.16492706  -3.71244031  -0.91027776  -0.09996588
  -2.03851276  -0.78972887   0.27163584  -0.9719064   -0.38478925
   0.21191955  -0.72506669]","[0.15585869 1.55415685 0.25015034 0.14290961 1.58677724 0.25298346
 0.33900927 1.7998878  0.44164718 0.19286572 1.55588482 0.28328545]",3.7999994120000338,3.795385592005914
[0.5698899  0.44655955],0.23992289876563266,79,79,0.45454545454545453,0.5909090909090909,0.9545454545454546,0.5454545454545454,0.5909090909090909,0.9090909090909091,"[-3.87112111 -2.09748134 -3.17969204 -1.07194175  1.68886678 -1.26618268
 -3.14915657 -0.16837083 -0.66351047 -0.20620731  0.17410634 -0.39203777]","[ 0.27899766  1.61548835  0.39228647  0.21055026  1.65591576  0.29634925
 -0.01739952  1.40000005  0.25        0.55950954  1.8         0.50781192]","[-1.41001802  0.04605106 -0.82501348 -3.55846304  4.19239377 -0.4867298
 -6.18759518 -0.24620083 -4.3309688  -3.11412872  0.13954853 -2.48864578]","[ 0.30123493  1.71160974  0.50398259  0.15690042  1.8         0.25000002
 -0.08917226  1.4         0.25        0.33208694  1.79999944  0.3189379 ]",3.8089023109998834,3.703818258989486
[0.52879801 1.0427074 ],0.17428489593095137,80,80,0.55,0.75,0.95,0.45,0.6,1.0,"[ 4.23548453 -0.38575462  0.60916179 -0.11957548 -0.48378695  0.12526535
  0.66809869 -0.7218576   1.11793477 -0.32604285  0.55800087  1.37193897]","[ 0.54473421  1.57801042  0.74999912 -0.41515763  1.4         0.65161036
  0.1691354   1.42221452  0.74963566 -0.37335554  1.74151207  0.72301229]","[ 3.01205321  0.50152772  0.40761634  0.86118592 -0.35582712 -0.25403037
 -0.25881761  0.5656877  -0.39071482  0.53205864  0.04560008 -0.04081908]","[ 0.58551101  1.78481546  0.74995878 -0.22292532  1.40006276  0.51035876
  0.09468232  1.66494875  0.25000007 -0.10148096  1.55022853  0.34372433]",3.5091291629998977,3.479973349996726
[0.22463673 1.13762973],0.18249706124829698,81,81,0.45454545454545453,0.6818181818181818,0.9090909090909091,0.7272727272727273,0.7727272727272727,1.0,"[ 0.95632958 -0.7182793  -0.68572967  0.40636463  0.28217223 -0.17713896
 -1.20718795  0.27902704  1.60504078  1.51934385 -0.1253356  -0.29566929]","[ 0.02719368  1.57941561  0.25000004  0.15886059  1.67907023  0.49702839
 -0.45028588  1.8         0.34421876  0.10030911  1.40000008  0.30140077]","[ 0.44785709 -0.54514369 -0.10968995  0.22837261  0.15063813 -0.76153945
 -0.01029874  0.20544107  0.2448897   0.54829203 -0.13752674 -0.14975557]","[ 0.0272422   1.47092704  0.25000018  0.10745575  1.63752519  0.32302352
 -0.38055168  1.79510049  0.34135355  0.09000475  1.40000204  0.35728992]",3.73092879800015,3.691292595001869
[0.36264493 0.45275864],0.19195843567087267,82,82,0.45454545454545453,0.7727272727272727,0.9545454545454546,0.6363636363636364,0.8636363636363636,1.0,"[-2.05151088  0.53004623 -2.89370825  0.21783233  0.64974233  0.29072068
  4.27032316  1.19041358 -0.87256001  0.81344092  0.63231854  0.61670401]","[ 0.1177763   1.44874984  0.33233455  0.71995176  1.8         0.50583329
 -0.05666328  1.79999209  0.25014533  0.28663719  1.79067311  0.7499927 ]","[-1.57175881 -0.10359174 -2.49816925 -0.36023097  0.14311673 -0.31290002
  4.21616805  1.3239556  -0.95862289 -0.13529923  0.47461284 -0.48345647]","[ 0.12993178  1.40000016  0.36273809  0.62797283  1.79448647  0.4475304
 -0.0564776   1.8         0.25000409  0.18197281  1.7961644   0.35090781]",3.784493737000048,3.7165545460011344
[0.05253892 0.66144568],0.17173026682060374,83,83,0.391304347826087,0.4782608695652174,0.9130434782608695,1.0,1.0,1.0,"[-7.94377881 -0.85223411 -1.05508368  6.78199391 -3.19562799 -0.800997
 -2.67544473 -2.78354129 -3.41378274  0.45974693 -0.81859768 -0.62453845]","[ 0.05936476  1.50536127  0.25       -0.10571494  1.54826107  0.25000614
  0.32559893  1.50156883  0.28410669 -0.30538573  1.40000003  0.56001592]","[ 0.06295531 -0.72916871  0.2967465   0.26280298 -0.64672646 -0.73144679
 -0.19988697 -0.59193322 -0.03679265  1.24316727 -0.68010529 -1.08053504]","[ 0.1370141   1.40027807  0.73135658 -0.0764279   1.59697953  0.25000033
  0.3547249   1.40981669  0.44268231 -0.15197866  1.40000629  0.25006899]",3.7990210409998326,3.7414280049997615
[0.11402444 1.21242924],0.15321580179145708,84,84,0.4444444444444444,0.7407407407407407,1.0,1.0,1.0,1.0,"[-3.78521172  0.44702866  0.46114994 -1.48964568 -1.24038145 -1.45976063
 -1.4245555   0.60335509  1.10926573 -0.31899367  0.81306356  0.42269459]","[-0.31151615  1.78341317  0.74997645  0.26455651  1.4575604   0.25
 -0.85092126  1.76699468  0.49014188 -0.15055399  1.8         0.34380109]","[-0.28966714  0.03270103  0.43242691 -0.42879766 -0.0682241  -0.11530479
 -0.14471563 -0.16816686  0.20736278 -0.17873996  0.45580192  1.09915276]","[-0.26289606  1.64736295  0.72673929  0.2534713   1.47762984  0.25035454
 -0.73059791  1.67609976  0.48297391 -0.18466816  1.79792679  0.7499977 ]",3.5247319959999004,3.694262823992176
[0.08366878 0.98343227],0.1654607259702449,85,85,0.6086956521739131,0.8260869565217391,0.9565217391304348,0.9565217391304348,0.9565217391304348,1.0,"[-2.99694557 -1.87381372 -2.38921131  2.96200108 -2.12894779 -1.15959038
 -0.30306802 -0.10051021 -0.54983764  9.38887531  0.53731072 -0.56743238]","[ 0.34142453  1.71643749  0.2607349  -0.2739804   1.63825738  0.25018873
 -0.0821836   1.71746891  0.25002352 -0.47556038  1.55422843  0.25603086]","[-0.13932786 -0.05509499 -0.08618138  3.31660388 -0.73422872 -0.70286427
 -0.24099317 -0.95424261  0.93358401  3.88323955 -0.21373959 -0.59767191]","[ 0.35252271  1.73072375  0.26851204 -0.11210196  1.40004622  0.25104449
 -0.15414712  1.40298191  0.74658863 -0.3060205   1.40281245  0.25037561]",3.897999880000043,3.826305893002427
[0.39883642 1.20514197],0.16341830928603626,86,86,0.4166666666666667,0.625,0.9583333333333334,0.6666666666666666,0.7916666666666666,0.9583333333333334,"[-1.48604555  0.25593788 -2.07658799 -0.69549358  0.26693372 -0.29726732
 -9.33221092 -0.19330353 -1.37252428 -0.23935635  1.63907003 -1.83803913]","[-0.03687256  1.66823907  0.25000027 -0.37215157  1.79999998  0.42022536
  0.0779529   1.40000041  0.25000158 -0.32950433  1.57436992  0.25605543]","[ 0.12145758 -0.38420886 -0.36704419  0.42766828  0.16563376 -1.07344524
 -5.72757738  1.48324067 -4.19869007  4.10540846 -0.56186475 -2.54997901]","[-0.01761841  1.59264759  0.25       -0.30788898  1.74656087  0.36541191
  0.14104226  1.55190904  0.25       -0.21246103  1.46762221  0.25      ]",3.7945359309999276,3.7913640329934424
[0.64975081 0.87109185],0.19574862268304927,87,87,0.45454545454545453,0.6818181818181818,0.9545454545454546,0.4090909090909091,0.5454545454545454,0.9545454545454546,"[-1.90235783 -1.70683514 -2.1461349  -0.48281276  1.15790027  0.23735262
  2.85390964  0.43805518 -2.78348708 -0.66056481  1.03816669  0.02362815]","[ 0.44646292  1.72167529  0.43942316 -0.5109704   1.66505152  0.52276977
 -0.32669184  1.61888933  0.33087677 -0.06899012  1.7999994   0.38682517]","[-2.52960941 -3.50980023 -2.8677262  -0.44419171  1.52974556  0.26063784
  2.00019835  0.87577854 -1.79353918 -0.30277639  1.26684014  0.30785355]","[ 0.43597571  1.69275917  0.43144466 -0.50211062  1.68832565  0.52247243
 -0.33107619  1.64668546  0.36336434 -0.04505018  1.79999497  0.45862593]",3.650527360000069,3.6127637540048454
