hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,runtime_seconds
[0.11399256 0.11823114],18.14627331833026,0.4807121661721068,0.6884272997032641,0.9554896142433235,0.5637982195845698,0.7507418397626113,0.9584569732937686,"[-0.06235888 -0.38413912 -1.43152778  0.37150814 -0.04079701  0.12431443
  1.48391254 -0.00559193 -2.09883286 -0.62681128  0.30411374 -0.34368537]","[-0.35106224  1.69175387  0.4338207   0.43640323  1.40000021  0.61292506
 -0.15932975  1.52014834  0.36334746 -0.3622664   1.63163709  0.34146102]","[ 1.57195017 -1.20546099 -3.35259537  0.0156205  -0.23957788 -0.14700959
  3.22415898  0.57377342 -4.61972834 -0.20496417  0.6518845  -1.41647164]","[-0.33557036  1.68572356  0.41040936  0.42375506  1.4         0.59737314
 -0.14473022  1.53452465  0.31110123 -0.35374821  1.63599042  0.32594039]",92.4344892501831
[0.05144198 0.26266266],20.509239810110742,0.4716417910447761,0.6805970149253732,0.9611940298507463,0.6626865671641791,0.808955223880597,0.991044776119403,"[-3.24472121 -1.04552349 -2.91907784 -0.45650483 -1.00517944  1.16175493
 -1.2342031  -1.104986    0.16072829 -2.51532018 -2.49972841 -3.77057726]","[ 0.67271836  1.688291    0.59668528 -0.26971589  1.4321456   0.42159777
 -0.61954963  1.40933457  0.74870581  0.35273105  1.60932027  0.42833124]","[-2.80262322 -1.22293255 -2.52132597  0.56044514  0.39108077  0.40360434
 -3.68916564  0.42291873  0.20394046 -2.26659302 -3.52644844 -3.36915347]","[ 0.67223344  1.68595601  0.59652303 -0.24386066  1.47878644  0.38810899
 -0.61165718  1.52638099  0.74999851  0.34340732  1.57665676  0.41399286]",72.35603213310242
[0.11444143 0.12596436],17.441375044605323,0.5103244837758112,0.7138643067846607,0.9557522123893806,0.27728613569321536,0.3805309734513274,0.7020648967551623,"[-0.44575744 -0.20321654 -0.80151686  4.62157321  0.80330584  0.5068584
 -2.81769688 -0.63164803  0.88671348  0.92525832  2.23419211 -0.04935778]","[ 0.00621906  1.69245471  0.37986255  0.1968637   1.67801064  0.31610464
 -0.94041893  1.53214966  0.66494391  0.69413859  1.59121574  0.68373239]","[-2.22818149 -1.03054019 -1.48898438  5.32783689  1.76206041  1.24460993
 -3.31080839 -0.64267055  0.90455089 13.69452513  1.62597188  0.12528796]","[ 0.00554589  1.4162192   0.25000477  0.19765661  1.69380164  0.32808796
 -0.93529301  1.53430849  0.65391786  0.75028992  1.57121319  0.74999439]",91.18875789642334
[0.00797503 0.28775778],18.387148280375506,0.5059171597633136,0.6834319526627219,0.9497041420118343,0.7988165680473372,0.8402366863905325,0.9201183431952663,"[-3.35368122e+00 -1.13765568e+00  2.79373712e-01 -1.24288353e+00
  7.89638294e-01 -5.27581696e-01 -1.59496872e+00  9.72454255e-02
  8.62273168e-02  5.02180634e+00  2.44191852e-03  1.93183338e-02]","[ 0.36457504  1.60090828  0.56085913  0.0452115   1.5490206   0.45898598
  0.42732868  1.60407696  0.54790174 -0.40238909  1.63191551  0.74997225]","[-1.28355195 -0.15885089  0.49401041 -0.4530744   0.97060083 -0.44534843
 -2.15504048 -0.65850496 -0.77389336  0.59204954 -0.62464925 -0.04849742]","[ 0.37914855  1.61253964  0.58827225  0.0605251   1.79998805  0.48914643
  0.37772208  1.57270505  0.46772354 -0.38176748  1.48658546  0.71970369]",93.78479266166687
[0.0075585  0.29796814],25.455175574579926,0.4783861671469741,0.6772334293948127,0.962536023054755,0.8069164265129684,0.829971181556196,0.8760806916426513,"[-20.42395596   0.49272231   0.1645118    1.76754508  -1.00623562
   0.33161712   2.10468032  -0.44490179  -0.46036945  -1.57815722
  -0.62668178  -1.61090232]","[-0.77768689  1.60056365  0.74999838  0.14291691  1.49638247  0.74988784
  0.63851292  1.535791    0.45735972 -0.34621619  1.76498919  0.33008277]","[-3.78750851 -0.99839856  0.04829727  0.40025029  0.17300697  0.1026293
  0.67414674  0.04586444 -1.31703331 -1.74561227  0.08690558 -0.25244826]","[-0.7676616   1.56647541  0.74822525  0.14734509  1.79501607  0.62902569
  0.60496591  1.54267909  0.42618162 -0.37102317  1.79962276  0.35204138]",78.40071654319763
[0.16331227 0.07824788],28.669844649637714,0.49709302325581395,0.6976744186046512,0.9505813953488372,0.3430232558139535,0.502906976744186,0.7558139534883721,"[ 4.4993523   1.83386104  0.08400492  0.92318344  0.61949644 -1.7367719
 -3.89545362  0.13464422  0.093424   10.7291524  -1.22606103  1.42673474]","[ 0.33022494  1.65452722  0.35774765 -0.37632012  1.58473242  0.59313325
 -0.41991491  1.58679514  0.28263513  0.80621353  1.58592432  0.74999913]","[ 3.51357258  1.69934154 -0.55595505 -0.28301222  0.04564713 -0.03687469
 -5.1893071   0.0152      1.91528671 11.54222447 -0.37935705  1.95007955]","[ 0.32499149  1.65315706  0.35225891 -0.44393454  1.56124847  0.72107477
 -0.44217461  1.58604281  0.3016349   0.80821157  1.63554826  0.74999984]",77.63977909088135
[0.00773837 0.28422903],21.727380220408758,0.44476744186046513,0.622093023255814,0.9244186046511628,0.7994186046511628,0.813953488372093,0.8924418604651163,"[-8.62599895 -0.32630174  0.33313653 -3.36335627 -1.24883563  1.80205284
  6.78693127 -0.77795563 -1.51028572  0.22433797 -0.10345605  0.01199543]","[-0.13966354  1.40000011  0.74999715 -0.79912411  1.44074265  0.68047327
  0.55486263  1.60946241  0.33485084  0.10625787  1.40000057  0.67401829]","[-6.02564634 -0.11059647  1.19577607 -2.00466625 -0.97554008  0.11998508
  3.70502244  0.94689977 -2.03124801  0.50189648 -0.0238467   0.19160347]","[-0.1458366   1.4         0.74999499 -0.66202395  1.44835968  0.55636461
  0.53875575  1.62475204  0.32035     0.10247509  1.43356604  0.74992252]",73.18499636650085
[0.02807204 0.29507558],24.73759516427102,0.46938775510204084,0.6822157434402333,0.9358600583090378,0.6705539358600583,0.7405247813411079,0.8309037900874635,"[ 7.54768042 -0.69253303  0.05600868  6.88016098 -0.60777261  0.41942814
 -1.44784235 -0.34858907  0.1273526   6.06166634  0.26781782 -2.29807935]","[-3.92954835e-01  1.75729326e+00  4.89793789e-01 -3.18324150e-01
  1.58744802e+00  7.49999529e-01  6.16536604e-04  1.40059387e+00
  7.49403770e-01 -3.88567046e-01  1.53461077e+00  4.51578363e-01]","[ 6.43494624 -0.92765774 -0.82597992  3.58285836 -0.69768314  0.12130448
 -1.26364398  0.68177875 -1.44193236  1.19842531 -0.93129671 -0.05214638]","[-0.37096833  1.74870742  0.46482444 -0.32479293  1.54418421  0.74999476
  0.00963689  1.75697077  0.25000046 -0.48211537  1.45033653  0.55215731]",88.32194972038269
[0.00782016 0.30014939],35.36849068339803,0.4839650145772595,0.6880466472303207,0.9300291545189504,0.8658892128279884,0.9271137026239067,0.9883381924198251,"[-0.20803208 -0.16726325  0.48721436  3.57371218  1.03224427 -2.60767152
  0.32036391 -1.91182773  0.56524449 -1.21535749 -1.45670996 -1.52935889]","[ 0.26928776  1.76998664  0.5821937  -0.37809612  1.50919208  0.38148562
  0.51891063  1.45173559  0.50989439  0.0853355   1.59016853  0.33191498]","[-1.10070166  0.07767528  0.02406598  3.69407749  2.9709187  -3.15772462
  0.32680753 -0.27196893  0.85031356  0.12559084 -0.79200859 -0.9095976 ]","[ 0.25443542  1.79999309  0.55341086 -0.36189773  1.54910891  0.3495484
  0.54394335  1.49565987  0.59923483  0.11326249  1.40000344  0.3685732 ]",83.63435935974121
[0.08055731 0.15162102],21.431889335101413,0.46,0.6457142857142857,0.94,0.4857142857142857,0.6771428571428572,0.9371428571428572,"[ 1.42120994  0.1197556   0.65100673  0.87425374 -0.19595064  1.33226637
  1.31294846  0.69356251 -0.29049669  0.93419718 -1.44312431  1.58444065]","[-0.31517143  1.8         0.62942787  0.23835528  1.40000023  0.64159602
 -0.09023515  1.79996179  0.56588797  0.42725782  1.45424338  0.46315638]","[ 1.33548865  1.03793791  0.68074026 -0.60875897  0.5726483  -0.01074051
  1.31876403  0.84641844 -0.30003538  0.71467094 -0.99998471  1.16538594]","[-0.31490041  1.79999986  0.63190456  0.17763135  1.50414954  0.48697232
 -0.07461484  1.66684061  0.50986187  0.42258939  1.4607157   0.44716231]",74.58698725700378
