runtime_sec,len_scale
6.494189262390137,[0.2621165  1.54699251]
6.410417556762695,[1.09884534 0.33550023]
6.53489351272583,[0.26211778 1.54707171]
6.501433849334717,[0.26215052 1.55118057]
6.538153648376465,[0.26201774 1.55132867]
6.493757247924805,[1.09893679 0.3354846 ]
6.582726955413818,[0.26211578 1.54695937]
6.461760997772217,[0.26211862 1.54710975]
6.438996315002441,[0.26211512 1.54701643]
6.540606260299683,[0.26200182 1.55136337]
6.5182952880859375,[0.26203475 1.55130782]
6.705079555511475,[0.26211371 1.54699654]
6.598797082901001,[0.26211881 1.5470931 ]
6.527637481689453,[0.26210753 1.5469756 ]
6.496680736541748,[0.26211604 1.54698424]
6.5073325634002686,[1.10256739 0.33533773]
6.548567771911621,[0.26202964 1.55130831]
6.446791887283325,[1.10263334 0.33534033]
6.5308308601379395,[0.26206877 1.55126917]
6.559370040893555,[0.2621146  1.54697803]
6.563085317611694,[0.26211451 1.54705793]
6.444056987762451,[0.26211373 1.54703866]
6.476250648498535,[0.26211672 1.54705824]
6.5281898975372314,[0.26211402 1.54704199]
6.476212739944458,[0.26211196 1.5469699 ]
6.60201358795166,[0.26205493 1.55128618]
6.581773996353149,[0.2621144  1.54701025]
6.523725748062134,[0.26211219 1.54701855]
6.557630300521851,[1.0988576  0.33552057]
6.499822378158569,[0.26203476 1.54775717]
6.383172035217285,[0.26210875 1.54699056]
6.51583456993103,[0.2621079  1.55123287]
6.402891635894775,[0.26211638 1.54700623]
6.391129970550537,[0.26211849 1.5470767 ]
6.533859014511108,[0.26211429 1.54698786]
6.5248284339904785,[0.26201494 1.55134451]
6.473680019378662,[0.0075     1.56882576]
6.518145799636841,[0.26213204 1.55120412]
6.425167560577393,[0.26211535 1.54702089]
6.540101766586304,[0.26211449 1.54698055]
6.478099584579468,[0.26211435 1.54696727]
6.528574705123901,[0.0075     1.56876822]
6.423099756240845,[0.26211306 1.54696757]
6.514663934707642,[0.26208282 1.54634119]
6.486859083175659,[0.26211493 1.54701608]
6.513618230819702,[0.26208232 1.551257  ]
6.40895676612854,[1.0924619  0.33486768]
6.467483282089233,[0.26211739 1.54707215]
6.473239183425903,[1.09890694 0.33549058]
6.451600790023804,[0.26207979 1.54630793]
6.498377799987793,[0.26211806 1.54705497]
6.520970106124878,[1.10274513 0.33533899]
6.5352137088775635,[0.26207447 1.551263  ]
6.5011701583862305,[0.26211668 1.54707433]
6.49370265007019,[0.26206153 1.54634433]
6.5440568923950195,[0.26211927 1.54712512]
6.478450775146484,[1.10273846 0.33532094]
6.538347482681274,[0.2621131  1.54702787]
6.5369648933410645,[0.26211359 1.54705458]
6.47973370552063,[0.26211607 1.54703484]
6.53657078742981,[0.26211851 1.54708675]
6.508495092391968,[0.26201531 1.55134955]
6.556530952453613,[0.262108   1.54698259]
6.499329566955566,[0.26211054 1.54699441]
6.518488883972168,[0.26120936 1.54476269]
6.532772064208984,[0.26108232 1.54403958]
6.501353979110718,[0.26211518 1.54705651]
6.535231828689575,[1.09891251 0.33548526]
6.533365726470947,[0.26206916 1.54630285]
6.527144193649292,[0.26211751 1.54700697]
6.518791198730469,[0.26208116 1.55124734]
6.528860330581665,[0.0075     1.56884444]
6.46061635017395,[0.26211771 1.5470893 ]
6.449358701705933,[0.26211585 1.54705444]
6.413949489593506,[0.26211601 1.5470337 ]
6.5516602993011475,[0.26109891 1.5440213 ]
6.433996200561523,[0.26208533 1.55126299]
6.517142295837402,[0.26203941 1.55129159]
6.409397602081299,[0.26211236 1.54698551]
6.47191596031189,[0.26202349 1.55132627]
6.419635534286499,[0.26209044 1.55126277]
6.490775108337402,[0.26211653 1.54697196]
6.503021955490112,[0.26206895 1.55126189]
6.509329795837402,[0.26208495 1.54660486]
6.401874303817749,[0.0075     1.56897036]
6.507368326187134,[0.26211578 1.54707697]
6.444017648696899,[1.09895661 0.33547722]
6.490547180175781,[0.26211569 1.54695287]
6.401974439620972,[0.26201976 1.55133343]
6.515214443206787,[0.26210761 1.54695879]
6.429871320724487,[0.26212391 1.55120727]
6.484130382537842,[0.2599885  1.54704242]
6.447424650192261,[0.26212942 1.55121125]
6.477065801620483,[0.262117   1.54703241]
6.408990383148193,[0.26206658 1.55127323]
6.506541013717651,[1.10270422 0.33531385]
6.410820484161377,[1.09889871 0.33551298]
6.4767537117004395,[0.26211389 1.5512307 ]
6.486976861953735,[0.26211711 1.54709086]
6.5287322998046875,[1.1026655  0.33532019]
