runtime_sec,len_scale
49.6759819984436,[0.54832258 0.79562986]
40.71707463264465,[0.55075629 0.78996663]
26.017176389694214,[0.55074212 0.78999922]
38.69292140007019,[0.54779124 0.79688417]
36.411189556121826,[0.55117437 0.78900708]
30.062119960784912,[0.54910899 0.79378528]
43.61548209190369,[0.55209578 0.78690583]
34.67496967315674,[0.54823017 0.79584755]
33.73630976676941,[0.54937313 0.79316885]
35.82857966423035,[0.54756097 0.79742978]
23.094565868377686,[0.55238017 0.78626101]
27.668607234954834,[0.27008268 1.60782509]
29.956392765045166,[0.27008279 1.60782148]
36.727007150650024,[0.53450765 0.83051045]
40.44897747039795,[0.55135057 0.78860383]
24.48750352859497,[0.55037467 0.79084588]
54.06457304954529,[0.55097969 0.78952031]
38.04131865501404,[0.55169267 0.78782283]
31.058252573013306,[0.54961402 0.79260808]
32.712042808532715,[0.53316125 0.83418239]
21.651859045028687,[0.55241157 0.78610251]
34.17175507545471,[0.55094351 0.78953645]
26.506484985351562,[0.55232287 0.78639078]
37.744952917099,[0.54067447 0.81433547]
36.127527713775635,[0.5520331  0.78704817]
20.249852180480957,[0.27008682 1.60339875]
20.257715463638306,[0.55237917 0.78626328]
33.479079723358154,[0.53708058 0.8236362 ]
21.73836374282837,[0.5424303  0.80991392]
31.44237470626831,[0.54563086 0.80205191]
23.835906982421875,[0.55089471 0.78964851]
30.00607204437256,[0.55238918 0.7862406 ]
23.832129955291748,[0.2700828  1.60782137]
29.49454426765442,[0.55132667 0.78865848]
40.48079538345337,[0.27008122 1.60782784]
28.773733615875244,[0.55016988 0.79160705]
45.210447788238525,[0.54856979 0.79504849]
34.013949155807495,[0.55204361 0.78702429]
35.08999562263489,[0.55238957 0.78623972]
26.84838056564331,[0.55110024 0.78917694]
33.872029304504395,[0.27010061 1.60749614]
34.24322462081909,[0.5523495  0.78633047]
42.15135622024536,[0.55063437 0.79024719]
34.15051531791687,[0.53422505 0.83127684]
30.87853217124939,[0.55003081 0.79164089]
22.988510131835938,[0.27008253 1.60782525]
30.28470206260681,[0.54889904 0.79427634]
34.93525171279907,[0.54278342 0.80903408]
38.43114995956421,[0.54616125 0.80077301]
33.709022521972656,[0.5514266  0.78843002]
30.249333381652832,[0.54723365 0.79820749]
23.302655935287476,[0.5489832  0.79407937]
21.764658212661743,[0.55239068 0.7862372 ]
25.633566856384277,[0.54167239 0.81181286]
27.771909475326538,[0.55010449 0.79147032]
32.411487340927124,[0.53248194 0.83588383]
46.57143688201904,[0.55239056 0.78623749]
40.56892371177673,[0.27008279 1.60782149]
30.980066061019897,[0.5468035 0.7992333]
32.73215651512146,[0.27008263 1.6078251 ]
40.80394458770752,[0.27008262 1.6078246 ]
33.96887254714966,[0.55138767 0.788519  ]
36.47839903831482,[0.5523715  0.78628064]
38.75680994987488,[0.54823277 0.79584142]
44.65995216369629,[0.27008275 1.60782221]
23.275725603103638,[0.55009187 0.79149954]
34.9286208152771,[0.5517002  0.78780566]
33.09146785736084,[0.55238693 0.78624569]
28.14961004257202,[0.55113012 0.78910845]
48.56258010864258,[0.55238928 0.78624039]
31.072810649871826,[0.55238987 0.78623904]
28.824862003326416,[0.55112596 0.78909468]
31.791547298431396,[0.55239039 0.78623788]
29.499512195587158,[0.27008259 1.60782503]
40.53101062774658,[0.55180047 0.78757725]
24.711113214492798,[0.54971258 0.79237902]
53.035383462905884,[0.55220206 0.78666464]
30.61576509475708,[0.54902418 0.79398352]
46.875890254974365,[0.54932309 0.79328552]
29.164425373077393,[0.27008331 1.60781189]
26.93606734275818,[0.27037996 1.6063866 ]
24.30410933494568,[0.55221034 0.78660993]
30.88951587677002,[0.55071444 0.7900629 ]
37.66896939277649,[0.55143506 0.78841071]
28.588232040405273,[0.54323094 0.80760852]
33.94063639640808,[0.55103326 0.7893305 ]
55.98382091522217,[0.5325872  0.83576394]
25.768506050109863,[0.55215096 0.78678057]
34.86962270736694,[0.55248094 0.78556509]
48.93708086013794,[0.55041859 0.79074452]
28.169832229614258,[0.55114754 0.78906854]
27.32038688659668,[0.54881184 0.7944806 ]
41.89354658126831,[0.54699717 0.79861237]
26.002917528152466,[0.55154167 0.78816724]
33.17269229888916,[0.54292049 0.80869342]
34.1068389415741,[0.53598357 0.82654458]
33.82961559295654,[0.54985955 0.79203784]
33.72139644622803,[0.55127605 0.78877428]
31.332647562026978,[0.54993356 0.79186621]
34.31653833389282,[0.54882643 0.79444643]
