hyperparameter,loss_score,0.67std_percent_known,1std_percent_known,1.96std_percent_known,0.67std_percent_fit_rand,1std_percent_fit_rand,1.96std_percent_fit_rand,coeff_known_pull,coeff_known,coeff_GP_pull_rand,coeff_GP_rand,cpu_runtime,wall_runtime
[0.31799358 0.23741551],0.07100000000000006,0.5253521126760563,0.7,0.9450704225352112,0.604225352112676,0.7887323943661971,0.9647887323943662,"[ 0.06318287 -0.57151192 -0.44345247  0.97320193  0.19020013 -0.67194915
 -0.61578887  0.05216665  0.50629048  0.79389858 -0.08383826  0.75001363]","[-0.40095481  1.49736716  0.27529247 -0.01280233  1.68668046  0.33625809
 -0.15217067  1.79972843  0.67922835  0.5957052   1.71998114  0.61262273]","[  1.06009401  -1.7827098   -2.34801673  14.4109989    0.27970495
 -11.85811174  -0.89885374  -0.78120819   1.55499146  13.143474
   4.02571187  12.20947426]","[-0.40035809  1.49732145  0.27482654 -0.01064675  1.64074797  0.26921235
 -0.150283    1.75631462  0.70312182  0.65465735  1.7682439   0.67125641]",22.748493493999945,36.180481093004346
[0.25496637 0.18239096],0.14200000000000002,0.4676056338028169,0.6563380281690141,0.9366197183098591,0.5859154929577465,0.7464788732394366,0.9492957746478873,"[-0.12524075 -0.48049318 -1.26891968 -0.16566359  0.19901355 -0.07689578
  2.60708946  0.07204523 -0.81324982 -2.31642006 -0.34374538  0.2522552 ]","[ 0.38494806  1.71517225  0.31437341  0.44680997  1.71634944  0.51029919
 -0.00443563  1.51332019  0.25000004 -0.22948713  1.51197601  0.74999975]","[ -0.80053181  -1.77705589  -3.88282481   0.95300527   2.22063517
   1.06642837   6.19555317  -0.33474533 -14.44919052  -6.10067972
  -0.38873501   1.98405962]","[ 0.38438669  1.71481752  0.31389563  0.45967317  1.72939897  0.52518714
 -0.00543818  1.40000037  0.25000018 -0.23712593  1.40048352  0.74999962]",18.314787311999908,31.13044365029782
[0.34478368 0.38987474],0.479,0.4872944693572496,0.6741405082212257,0.953662182361734,0.5710014947683109,0.71898355754858,0.9476831091180867,"[-0.45188301 -0.61357288  0.94613722  1.87879205 -1.62660016 -2.15552673
 -1.06582716 -0.5802973   1.05194155  0.92728675 -1.50883442 -1.3752322 ]","[-0.27277839  1.50663651  0.40424433 -0.52569361  1.71540682  0.55499575
 -0.18622019  1.57866613  0.52738343 -0.4990581   1.75172549  0.27509688]","[-1.95483123 -1.83999021  3.75547102  6.00134499 -3.42935698 -6.79149595
 -3.91351228 -0.86179028  3.9046146   4.62425483 -3.78165745 -5.81580709]","[-0.27375055  1.50698319  0.4058781  -0.51967351  1.72620554  0.55069971
 -0.2107466   1.59060399  0.60095463 -0.49450513  1.75481061  0.27334137]",22.88333857200007,36.339881491847336
[0.16788154 0.36182602],0.07699999999999996,0.4912751677852349,0.6845637583892618,0.9476510067114094,0.553020134228188,0.7758389261744967,0.9691275167785235,"[ 1.5100458  -0.25132927  0.67646244 -0.75527353  0.98758877  0.61264035
 -0.34266516 -1.46506559 -0.38456465 -1.52123964  1.17590907  1.1413418 ]","[ 0.23619282  1.70432458  0.25539908 -0.27514359  1.67430016  0.56346132
  0.19627805  1.7461508   0.37138228 -0.41947797  1.73143775  0.48491908]","[ 2.49710551 -1.48115523  0.32595589 -2.84960138  2.50634413  2.65463271
 -0.71189057 -1.28660429 -1.21981002 -4.57596594  3.24597062  3.97465148]","[ 0.23478309  1.70371005  0.25371626 -0.30950307  1.685024    0.63947521
  0.19723842  1.76968718  0.36964594 -0.44020009  1.73571662  0.51546128]",18.571762213999932,28.296709794551134
[0.36883272 0.38944466],0.41700000000000004,0.47,0.66375,0.95625,0.4625,0.6825,0.97,"[ 0.70529812  0.33381439  0.48735944 -1.17900451  1.08859395 -1.30252714
  0.92742193 -0.95220709  0.7473282  -0.81091246 -0.05156701  0.44534338]","[ 0.13145148  1.69576127  0.25314085  0.04352735  1.8         0.29626115
  0.96773388  1.44697176  0.41461394 -0.24569615  1.55588523  0.73185035]","[  2.67958347   1.56638591   0.47335184  -2.22770127   9.10344656
  -3.0303859    5.47315517  -5.70531276   4.69987824 -16.67478528
  -0.14239509   5.39089338]","[ 0.13133489  1.69594444  0.25126009  0.04676868  1.799999    0.31860629
  0.97836539  1.44336795  0.41914166 -0.24501953  1.55734517  0.74914859]",26.035145682999996,40.59193353820592
[0.11414192 0.30980963],0.14200000000000002,0.5308823529411765,0.6897058823529412,0.9529411764705882,0.5455882352941176,0.6926470588235294,0.975,"[-0.43248212  0.20538355  0.34548583 -1.67707145  2.04184895 -1.86651167
  0.56466354 -1.89774597 -0.36785355 -1.5981027   0.84870324 -1.72393939]","[-0.14736979  1.79999991  0.5918637   0.39810355  1.56355594  0.43172755
 -0.23923872  1.77001044  0.27972665  0.2231421   1.50986346  0.4846104 ]","[-0.44698544  1.29770268  0.19673077 -5.52895415  6.55643511 -6.395218
  2.59544328 -3.9845185  -2.31191513 -6.0802901   3.83790421 -6.69218353]","[-0.1448909   1.79999767  0.57967537  0.38300664  1.57421351  0.40933746
 -0.23400941  1.77306954  0.27198711  0.20458608  1.53537369  0.43103387]",22.181626478,34.204632985405624
[0.26615694 0.16495403],0.11399999999999999,0.45539906103286387,0.6588419405320813,0.945226917057903,0.5524256651017214,0.7433489827856025,0.971830985915493,"[ 0.92932128  0.15026467  0.45711684  0.33799096  0.13085812  0.34680983
 -0.36764813 -0.48022867 -0.30145524  1.13227835 -0.01064238  1.15176626]","[0.24643129 1.58475672 0.30800037 0.1346472  1.50413252 0.59521882
 0.07163755 1.64462352 0.62085054 0.53937733 1.56978045 0.36239275]","[ 0.33672045  0.77856839 -0.2559251   0.07888768  2.31160648  0.00474066
 -3.61671993 -1.47523692 -2.99966407  2.96272782  1.26979314  3.19546221]","[0.24385737 1.58530745 0.30511056 0.11978814 1.56345741 0.52833207
 0.0517214  1.70198847 0.43083843 0.54312541 1.57473508 0.36675416]",26.53437884599998,40.866660309024155
[0.43784334 0.12381469],0.14200000000000002,0.5013888888888889,0.6958333333333333,0.9569444444444445,0.5416666666666666,0.7,0.9777777777777777,"[-0.65745649  0.65221076 -1.25013405 -0.71901895 -0.92473121  0.54636692
 -0.67506867  0.31162587 -0.70454262 -0.78896149  1.92855136 -0.2909581 ]","[ 0.29585906  1.65304809  0.40654783 -0.50832417  1.42958878  0.36203007
  0.2142439   1.75138923  0.43545025  0.28824196  1.47835507  0.32210822]","[-1.56167296  0.5342466  -3.0939782  -1.50957376 -2.73027702  1.24195591
 -1.67002963  0.38772496 -2.04670993 -1.53474842  6.14109484 -0.26518383]","[ 0.296066    1.65065057  0.40708229 -0.50755789  1.42739544  0.36183856
  0.2148321   1.74542691  0.43206459  0.29018393  1.48584695  0.32561595]",18.645785380999996,29.661026114597917
[0.36311749 0.18650285],0.08000000000000002,0.5162790697674419,0.703875968992248,0.9441860465116279,0.5007751937984496,0.7147286821705426,0.9348837209302325,"[-0.17905922 -0.39086182 -0.42834295 -0.44403324  0.73797358  0.0220577
  3.20003441 -0.52905898 -3.70108226  2.14502842  2.69820457 -1.78820147]","[ 0.76897655  1.70813499  0.40618709 -0.35461282  1.76369061  0.74871579
 -0.12943674  1.68880412  0.43410766 -0.27337881  1.61012318  0.54100584]","[-8.16482983 -4.66652528 -9.23672726 -0.29967964  2.8745322  -0.14119579
  6.29522527  2.07279628 -9.12932227 -1.40874116  4.74747304  2.84686399]","[ 0.76045836  1.70597013  0.40128601 -0.35523477  1.78375268  0.74105624
 -0.15885282  1.74651003  0.53775029 -0.35937732  1.63547084  0.71855719]",27.009073399000044,40.80473215598613
[8.09368496e-04 1.41255544e+00],0.14200000000000002,0.504885993485342,0.7084690553745928,0.9641693811074918,0.8257328990228013,0.8729641693811075,0.9657980456026058,"[-2.35516336 -1.25306792  2.39005059  0.3529307  -0.0782123  -0.26396754
  3.75854047 -0.25922386  0.13221883 -1.04189658  1.04240787 -1.07212759]","[-0.40463606  1.47041578  0.33483936 -0.09061326  1.65016049  0.58739793
  0.33365798  1.40000124  0.74994729  0.31244394  1.46267954  0.52455059]","[-2.38117305 -2.42621928  3.06312823 -0.93550895 -0.83022186  0.16428032
  0.57557493 -1.76055436 -0.40345536 -3.03099214  1.4319082  -1.00565729]","[-0.40220133  1.46907513  0.33443121 -0.15106323  1.56212137  0.74764454
  0.31178035  1.40000006  0.66423852  0.24769563  1.48689263  0.54032451]",22.39451280700007,36.81754455156624
