read_yaml,read_data,len_scale_opt,len_scale_0,len_scale_1,fill_convex_hull,GP,output_GP,total_time,run
0.003042459487915039,0.01273655891418457,77.70426535606384,0.26461221410032293,1.5512374385761167,0.6994180679321289,0.014090538024902344,0.12679314613342285,78.56037616729736,1
0.003810405731201172,0.0044708251953125,100.71505403518677,1.0964881332550147,0.3345569249477087,0.7093555927276611,0.013790130615234375,0.12357139587402344,101.57007932662964,2
0.0008013248443603516,0.001947164535522461,58.44315838813782,0.2612022682386921,1.5443265820568715,0.6912040710449219,0.011529922485351562,0.12883782386779785,59.27750372886658,3
0.0007951259613037109,0.0018525123596191406,80.04047894477844,0.2610134612912659,1.542500379463926,0.7609636783599854,0.011472702026367188,0.12371349334716797,80.93930125236511,4
0.0038175582885742188,0.004421234130859375,79.37823963165283,0.15703020448074362,1.6135684772529957,0.6984312534332275,0.011520624160766602,0.12333846092224121,80.21979331970215,5
0.0007989406585693359,0.0019037723541259766,144.9731147289276,0.26133637479653266,1.549810874700376,0.699162483215332,0.013857841491699219,0.12354326248168945,145.812406539917,6
0.0037162303924560547,0.004340410232543945,78.84057855606079,0.15930874093377903,1.6158850082841263,0.7033405303955078,0.011551380157470703,0.12432169914245605,79.68787360191345,7
0.0041353702545166016,0.004799842834472656,80.68765950202942,0.15586119362801623,1.6126131794015661,0.7095026969909668,0.011438369750976562,0.12330341339111328,81.54086446762085,8
0.0007684230804443359,0.0019295215606689453,103.33650279045105,0.2644776946913604,1.5467379424258763,0.7055196762084961,0.01143646240234375,0.12377429008483887,104.17995715141296,9
0.0035409927368164062,0.004227638244628906,125.40802454948425,0.15708843021327262,1.6133748811352677,0.7044234275817871,0.012132644653320312,0.12341904640197754,126.25579237937927,10
0.0036432743072509766,0.004183530807495117,121.48557448387146,0.2615319509481243,1.5504628198925114,0.7064416408538818,0.011491060256958008,0.12345314025878906,122.33481073379517,11
0.003699064254760742,0.004274606704711914,150.89719438552856,0.2610525256066608,1.549035982951421,0.7047536373138428,0.013849973678588867,0.12441468238830566,151.74821090698242,12
0.003681659698486328,0.004338741302490234,105.80640435218811,0.2621135718639578,1.5467363126613898,0.6999881267547607,0.011765718460083008,0.12351226806640625,106.64971590042114,13
0.0035889148712158203,0.004288911819458008,125.41699123382568,0.2620605449565602,1.5481131731407736,0.702714204788208,0.01149129867553711,0.12347769737243652,126.26257848739624,14
0.003644704818725586,0.0042917728424072266,125.1417601108551,0.2620778145168657,1.5470309288207598,0.7014691829681396,0.011416912078857422,0.12344932556152344,125.98605585098267,15
0.003502368927001953,0.004469633102416992,83.1765387058258,1.0997237965394244,0.33529464348289517,0.6994152069091797,0.011568069458007812,0.12380862236022949,84.01932764053345,16
0.0037250518798828125,0.004284858703613281,122.8823881149292,0.1553964499092857,1.60964760637626,0.7077658176422119,0.011424064636230469,0.12254977226257324,123.73216104507446,17
0.004045248031616211,0.004665374755859375,83.14360404014587,0.2620738155747451,1.5476634085015346,0.7076148986816406,0.011474370956420898,0.12377691268920898,83.99520587921143,18
0.0007631778717041016,0.0018644332885742188,125.03056144714355,0.26377353894493594,1.5457487399317156,0.6999380588531494,0.011476516723632812,0.12354111671447754,125.86816883087158,19
0.0036497116088867188,0.004267215728759766,105.9971604347229,0.26212199494937083,1.547681652034154,0.6987240314483643,0.01197361946105957,0.12421965599060059,106.8400194644928,20
0.0033960342407226562,0.004166603088378906,84.63566422462463,0.2645547024274695,1.5425713688154805,0.7056670188903809,0.011486291885375977,0.12392807006835938,85.48433327674866,21
0.0037381649017333984,0.004381656646728516,107.06319880485535,0.26208316540993626,1.5494092528992365,0.7037994861602783,0.0115509033203125,0.12395358085632324,107.91064786911011,22
0.00078582763671875,0.0018754005432128906,149.90769147872925,0.26364054256418584,1.5476767761117265,0.710477352142334,0.013719558715820312,0.12355923652648926,150.75813364982605,23
0.0037069320678710938,0.00438237190246582,105.8176965713501,0.26102610777575586,1.5447484137412328,0.7028634548187256,0.011536836624145508,0.1236569881439209,106.66386675834656,24
0.003422260284423828,0.004291057586669922,105.12110543251038,0.15788729148355918,1.6190664171958067,0.7026631832122803,0.011991262435913086,0.12347602844238281,105.96697425842285,25
0.0007824897766113281,0.0019996166229248047,126.28606605529785,0.2638475624377906,1.5486256906882254,0.6997737884521484,0.01151275634765625,0.12349629402160645,127.12365698814392,26
